index,candidate,score,elapsed_s,rationale,worst_return_db,worst_return_expr,isolation_db,worst_coupling_db,worst_coupling_expr,patch_side_mm,feed_offset_u_mm,feed_pad_radius_mm,port_width_mm,weak_coupling_open_line_enabled,weak_coupling_open_line_length_mm,weak_coupling_open_line_width_mm,weak_coupling_open_line_offset_mm,weak_coupling_open_line_gap_mm,via_fence_enabled,via_fence_count,via_fence_radius_mm,via_fence_pitch_mm,via_fence_edge_offset_mm,via_fence_center_mm,isolation_slot_length_mm,isolation_slot_width_mm,isolation_slot_inner_mm,local_dgs_enabled,local_dgs_length_mm,local_dgs_width_mm,local_dgs_offset_mm
11,pad0p32_port0p50_feed3p40,33.866049625325566,90.1,使用小焊盘/窄端口组合并细扫双馈偏移。,-9.120683760798128,"dB(S(P2B:1,P2B:1))",12.174644150372165,-12.174644150372165,"dB(S(P4B:1,P4A:1))",9.15,3.4,0.32,0.5,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
12,pad0p32_port0p50_feed3p50,43.164194077619584,87.0,使用小焊盘/窄端口组合并细扫双馈偏移。,-8.599169377012956,"dB(S(P3A:1,P3A:1))",12.415486125985588,-12.415486125985588,"dB(S(P2B:1,P2A:1))",9.15,3.5,0.32,0.5,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
13,pad0p32_port0p50_feed3p60,51.175016201056906,105.2,使用小焊盘/窄端口组合并细扫双馈偏移。,-8.251181600989344,"dB(S(P1B:1,P1B:1))",12.275107136427101,-12.275107136427101,"dB(S(P1B:1,P1A:1))",9.15,3.6,0.32,0.5,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
14,pad0p30_port0p45_feed3p40,37.328482129487256,88.9,交互点：小焊盘、窄端口和略外移馈点的低耦合组合。,-8.92491876567348,"dB(S(P1A:1,P1A:1))",12.26969854960651,-12.26969854960651,"dB(S(P2A:1,P2B:1))",9.15,3.4,0.3,0.45,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
15,pad0p28_port0p45_feed3p50,41.883037415719365,104.9,交互点：最小焊盘与最窄端口，测试极限小探针近场耦合。,-8.707533396552607,"dB(S(P3A:1,P3A:1))",12.256962435882821,-12.256962435882821,"dB(S(P1B:1,P1A:1))",9.15,3.5,0.28,0.45,0.0,,,,,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
16,openline_l1p80_w0p10_gap0p08,43.437868443483396,89.1,加入悬浮 A/B 弱耦合开路线，长度 1.80 mm，用于局部反向耦合补偿。,-8.43951295651515,"dB(S(P2A:1,P2A:1))",12.918027442050752,-12.918027442050752,"dB(S(P1B:1,P1A:1))",9.15,3.3,0.32,0.5,1.0,1.8,0.1,1.65,0.08,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
17,openline_l2p40_w0p12_gap0p08,45.37427094703967,86.9,加长悬浮 A/B 弱耦合开路线，增强隔离补偿但控制对贴片模式扰动。,-8.457568484236083,"dB(S(P4A:1,P4A:1))",12.533303046282839,-12.533303046282839,"dB(S(P1B:1,P1A:1))",9.15,3.3,0.32,0.5,1.0,2.4,0.12,1.65,0.08,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
18,openline_l2p80_w0p10_gap0p10,36.184406578866806,96.9,进一步加长但提高悬浮间隙，验证更弱电容耦合下的隔离趋势。,-8.933806346059193,"dB(S(P4A:1,P4A:1))",12.429863782052305,-12.429863782052305,"dB(S(P1B:1,P1A:1))",9.15,3.4,0.32,0.5,1.0,2.8,0.1,1.7,0.1,0.0,,,,,,10.0,0.42,3.2,0.0,4.8,0.28,1.15
19,viafence_n2_pitch0p55_edge0p45,175.41870178082956,119.5,在每个贴片 A/B 馈电象限外侧加入 2 颗接地过孔栅栏，抑制局部地电流串扰。,-3.6006187510933065,"dB(S(P1A:1,P1A:1))",7.094820532884051,-7.094820532884051,"dB(S(P2B:1,P2A:1))",9.15,3.3,0.32,0.5,0.0,,,,,1.0,2.0,0.1,0.55,0.45,3.3,10.0,0.42,3.2,0.0,4.8,0.28,1.15
20,viafence_n3_pitch0p65_edge0p55,162.52017101286788,138.5,增强过孔栅栏数量和边缘偏移，寻找隔离提升与方向图扰动的折中。,-4.185939453694449,"dB(S(P1A:1,P1A:1))",7.293506652207192,-7.293506652207192,"dB(S(P1B:1,P1A:1))",9.15,3.4,0.32,0.5,0.0,,,,,1.0,3.0,0.1,0.65,0.55,3.35,10.0,0.42,3.2,0.0,4.8,0.28,1.15
21,openline_viafence_combined,163.60150416906205,110.3,组合弱耦合开路线和温和过孔栅栏，测试两种隔离机制的叠加效果。,-4.021229092100881,"dB(S(P4A:1,P4A:1))",7.662318998153388,-7.662318998153388,"dB(S(P1A:1,P1B:1))",9.15,3.35,0.32,0.5,1.0,2.2,0.1,1.65,0.1,1.0,2.0,0.1,0.55,0.45,3.3,10.0,0.42,3.2,0.0,4.8,0.28,1.15
