Freq_GHz,"dB(S(P2:1,P2:1))","dB(S(P4:1,P4:1))","dB(S(P1:1,P1:1))","dB(S(P3:1,P3:1))","dB(S(P2:1,P4:1))","dB(S(P2:1,P1:1))","dB(S(P2:1,P3:1))","dB(S(P4:1,P2:1))","dB(S(P4:1,P1:1))","dB(S(P4:1,P3:1))","dB(S(P1:1,P2:1))","dB(S(P1:1,P4:1))","dB(S(P1:1,P3:1))","dB(S(P3:1,P2:1))","dB(S(P3:1,P4:1))","dB(S(P3:1,P1:1))"
7.760000,-16.626635,-16.714614,-16.153727,-16.736672,-24.893991,-15.701145,-15.737655,-24.893991,-15.721037,-15.765279,-15.701145,-15.721037,-24.801963,-15.737655,-15.765279,-24.801963
7.780000,-17.126143,-17.221991,-16.626093,-17.246421,-24.740036,-15.699575,-15.737120,-24.740036,-15.719595,-15.764725,-15.699575,-15.719595,-24.648370,-15.737120,-15.764725,-24.648370
7.800000,-17.656027,-17.760638,-17.125831,-17.787912,-24.588674,-15.699652,-15.738236,-24.588674,-15.719810,-15.765821,-15.699652,-15.719810,-24.497392,-15.738236,-15.765821,-24.497392
7.820000,-18.219938,-18.334354,-17.656063,-18.365088,-24.439983,-15.701400,-15.741024,-24.439983,-15.721704,-15.768587,-15.701400,-15.721704,-24.349105,-15.741024,-15.768587,-24.349105
7.840000,-18.822205,-18.947658,-18.220469,-18.982666,-24.294036,-15.704837,-15.745503,-24.294036,-15.725297,-15.773043,-15.704837,-15.725297,-24.203578,-15.745503,-15.773043,-24.203578
7.860000,-19.468015,-19.605962,-18.823426,-19.646338,-24.150897,-15.709983,-15.751690,-24.150897,-15.730606,-15.779206,-15.709983,-15.730606,-24.060871,-15.751690,-15.779206,-24.060871
7.880000,-20.163630,-20.315807,-19.470180,-20.363055,-24.010621,-15.716855,-15.759603,-24.010621,-15.737650,-15.787094,-15.716855,-15.737650,-23.921037,-15.759603,-15.787094,-23.921037
7.900000,-20.916678,-21.085159,-20.167084,-21.141387,-23.873257,-15.725469,-15.769256,-23.873257,-15.746444,-15.796722,-15.725469,-15.746444,-23.784124,-15.769256,-15.796722,-23.784124
7.920000,-21.736526,-21.923786,-20.921895,-21.992026,-23.738848,-15.735839,-15.780663,-23.738848,-15.757003,-15.808103,-15.735839,-15.757003,-23.650171,-15.780663,-15.808103,-23.650171
7.940000,-22.634739,-22.843702,-21.744178,-22.928440,-23.607430,-15.747978,-15.793837,-23.607430,-15.769338,-15.821250,-15.747978,-15.769338,-23.519214,-15.793837,-15.821250,-23.519214
7.960000,-23.625608,-23.859622,-22.645804,-23.967718,-23.479035,-15.761898,-15.808786,-23.479035,-15.783461,-15.836172,-15.761898,-15.783461,-23.391281,-15.808786,-15.836172,-23.391281
7.980000,-24.726586,-24.989170,-23.641557,-25.131507,-23.353686,-15.777606,-15.825520,-23.353686,-15.799380,-15.852877,-15.777606,-15.799380,-23.266397,-15.825520,-15.852877,-23.266397
8.000000,-25.958090,-26.252039,-24.749709,-26.446573,-23.231406,-15.795111,-15.844044,-23.231406,-15.817103,-15.871373,-15.795111,-15.817103,-23.144580,-15.844044,-15.871373,-23.144580
8.020000,-27.340938,-27.665582,-25.992096,-27.943079,-23.112209,-15.814416,-15.864362,-23.112209,-15.836634,-15.891662,-15.814416,-15.836634,-23.025846,-15.864362,-15.891662,-23.025846
8.040000,-28.885972,-29.229398,-27.392056,-29.643572,-22.996108,-15.835526,-15.886478,-22.996108,-15.857976,-15.913749,-15.835526,-15.857976,-22.910206,-15.886478,-15.913749,-22.910206
8.060000,-30.559909,-30.878811,-28.964899,-31.518444,-22.883111,-15.858439,-15.910390,-22.883111,-15.881130,-15.937631,-15.858439,-15.881130,-22.797666,-15.910390,-15.937631,-22.797666
8.080000,-32.191480,-32.373795,-30.684399,-33.342082,-22.773221,-15.883156,-15.936097,-22.773221,-15.906094,-15.963308,-15.883156,-15.906094,-22.688230,-15.936097,-15.963308,-22.688230
8.100000,-33.319511,-33.191466,-32.384633,-34.444041,-22.666439,-15.909672,-15.963594,-22.666439,-15.932865,-15.990774,-15.909672,-15.932865,-22.581898,-15.963594,-15.990774,-22.581898
8.120000,-33.337576,-32.859370,-33.584200,-34.062442,-22.562763,-15.937981,-15.992874,-22.562763,-15.961435,-16.020023,-15.937981,-15.961435,-22.478668,-15.992874,-16.020023,-22.478668
8.140000,-32.241802,-31.598646,-33.614362,-32.510147,-22.462187,-15.968075,-16.023929,-22.462187,-15.991798,-16.051045,-15.968075,-15.991798,-22.378534,-16.023929,-16.051045,-22.378534
8.160000,-30.636889,-29.994241,-32.462318,-30.635483,-22.364704,-15.999942,-16.056746,-22.364704,-16.023942,-16.083829,-15.999942,-16.023942,-22.281488,-16.056746,-16.083829,-22.281488
8.180000,-28.986928,-28.404156,-30.791788,-28.862262,-22.270303,-16.033570,-16.091313,-22.270303,-16.057854,-16.118361,-16.033570,-16.057854,-22.187520,-16.091313,-16.118361,-22.187520
8.200000,-27.465103,-26.949385,-29.093997,-27.290219,-22.178971,-16.068942,-16.127612,-22.178971,-16.093519,-16.154625,-16.068942,-16.093519,-22.096616,-16.127612,-16.154625,-22.096616
8.220000,-26.105381,-25.648864,-27.540851,-25.913265,-22.090695,-16.106042,-16.165626,-22.090695,-16.130919,-16.192602,-16.106042,-16.130919,-22.008764,-16.165626,-16.192602,-22.008764
8.240000,-24.897094,-24.489723,-26.160585,-24.702479,-22.005458,-16.144848,-16.205334,-22.005458,-16.170034,-16.232270,-16.144848,-16.170034,-21.923946,-16.205334,-16.232270,-21.923946
8.260000,-23.819430,-23.452330,-24.938369,-23.628855,-21.923242,-16.185339,-16.246713,-21.923242,-16.210842,-16.273607,-16.185339,-16.210842,-21.842145,-16.246713,-16.273607,-21.842145
8.280000,-22.851934,-22.517948,-23.850879,-22.668171,-21.844027,-16.227489,-16.289738,-21.844027,-16.253319,-16.316587,-16.227489,-16.253319,-21.763343,-16.289738,-16.316587,-21.763343
8.300000,-21.977106,-21.670605,-22.876173,-21.801151,-21.767793,-16.271272,-16.334382,-21.767793,-16.297439,-16.361183,-16.271272,-16.297439,-21.687519,-16.334382,-16.361183,-21.687519
8.320000,-21.180609,-20.897175,-21.995859,-21.012612,-21.694519,-16.316659,-16.380615,-21.694519,-16.343172,-16.407363,-16.316659,-16.343172,-21.614651,-16.380615,-16.407363,-21.614651
8.340000,-20.450832,-20.186975,-21.195043,-20.290543,-21.624182,-16.363618,-16.428406,-21.624182,-16.390489,-16.455098,-16.363618,-16.390489,-21.544719,-16.428406,-16.455098,-21.544719
8.360000,-19.778368,-19.531303,-20.461758,-19.625360,-21.556760,-16.412117,-16.477722,-21.556760,-16.439357,-16.504352,-16.412117,-16.439357,-21.477700,-16.477722,-16.504352,-21.477700
8.380000,-19.155552,-18.923033,-19.786360,-19.009331,-21.492228,-16.462121,-16.528528,-21.492228,-16.489742,-16.555090,-16.462121,-16.489742,-21.413571,-16.528528,-16.555090,-21.413571
8.400000,-18.576084,-18.356279,-19.161020,-18.436146,-21.430562,-16.513593,-16.580787,-21.430562,-16.541608,-16.607274,-16.513593,-16.541608,-21.352309,-16.580787,-16.607274,-21.352309
8.420000,-18.034743,-17.826143,-18.579327,-17.900602,-21.371739,-16.566496,-16.634462,-21.371739,-16.594917,-16.660865,-16.566496,-16.594917,-21.293890,-16.634462,-16.660865,-21.293890
8.440000,-17.527163,-17.328511,-18.035976,-17.398361,-21.315733,-16.620788,-16.689511,-21.315733,-16.649632,-16.715823,-16.620788,-16.649632,-21.238290,-16.689511,-16.715823,-21.238290
8.460000,-17.049659,-16.859902,-17.526542,-16.925775,-21.262522,-16.676430,-16.745895,-21.262522,-16.705711,-16.772105,-16.676430,-16.705711,-21.185487,-16.745895,-16.772105,-21.185487
8.480000,-16.599100,-16.417346,-17.047296,-16.479745,-21.212080,-16.733378,-16.803570,-21.212080,-16.763114,-16.829667,-16.733378,-16.763114,-21.135457,-16.803570,-16.829667,-21.135457
8.500000,-16.172800,-15.998288,-16.595071,-16.057620,-21.164384,-16.791589,-16.862494,-21.164384,-16.821797,-16.888465,-16.791589,-16.821797,-21.088176,-16.862494,-16.888465,-21.088176
