assignment,scope,phi_start_deg,phi_width_deg,theta_deg,phi_deg,basis,feed,baseline,left_source,right_source,left_mag,right_mag,left_mag_rel_db,right_mag_rel_db,pdoa_deg,valid,pdoa_unwrapped_deg
A_H__B_V,full360,0.000000,360.000000,45.000000,135.000000,H,A,E1-E3,P1A,P3A,1152.453121,1552.894380,-9.963268,-7.372895,-107.859059,True,-107.859059
A_H__B_V,full360,0.000000,360.000000,45.000000,140.000000,H,A,E1-E3,P1A,P3A,1243.001375,1632.166269,-9.306301,-6.940446,-118.439235,True,-118.439235
A_H__B_V,full360,0.000000,360.000000,45.000000,145.000000,H,A,E1-E3,P1A,P3A,1311.852300,1684.300585,-8.838035,-6.667342,-129.838539,True,-129.838539
A_H__B_V,full360,0.000000,360.000000,45.000000,150.000000,H,A,E1-E3,P1A,P3A,1358.937927,1711.634278,-8.531741,-6.527514,-142.294113,True,-142.294113
A_H__B_V,full360,0.000000,360.000000,45.000000,155.000000,H,A,E1-E3,P1A,P3A,1386.619786,1720.461451,-8.356586,-6.482835,-155.925622,True,-155.925622
A_H__B_V,full360,0.000000,360.000000,45.000000,160.000000,H,A,E1-E3,P1A,P3A,1398.710355,1719.730626,-8.281178,-6.486525,-170.684782,True,-170.684782
A_H__B_V,full360,0.000000,360.000000,45.000000,165.000000,H,A,E1-E3,P1A,P3A,1399.126692,1718.533324,-8.278593,-6.492574,173.661152,True,-186.338848
A_H__B_V,full360,0.000000,360.000000,45.000000,170.000000,H,A,E1-E3,P1A,P3A,1390.819639,1723.510136,-8.330317,-6.467457,157.485255,True,-202.514745
A_H__B_V,full360,0.000000,360.000000,45.000000,175.000000,H,A,E1-E3,P1A,P3A,1375.387341,1737.377813,-8.427233,-6.397848,141.215077,True,-218.784923
A_H__B_V,full360,0.000000,360.000000,45.000000,180.000000,H,A,E1-E3,P1A,P3A,1353.210479,1758.887262,-8.568426,-6.290973,125.256551,True,-234.743449
A_H__B_V,full360,0.000000,360.000000,45.000000,185.000000,H,A,E1-E3,P1A,P3A,1323.607977,1783.681825,-8.760546,-6.169386,109.956884,True,-250.043116
A_H__B_V,full360,0.000000,360.000000,45.000000,190.000000,H,A,E1-E3,P1A,P3A,1284.793053,1805.537736,-9.019070,-6.063602,95.592438,True,-264.407562
A_H__B_V,full360,0.000000,360.000000,45.000000,195.000000,H,A,E1-E3,P1A,P3A,1233.957549,1817.797011,-9.369729,-6.004826,82.361679,True,-277.638321
A_H__B_V,full360,0.000000,360.000000,45.000000,200.000000,H,A,E1-E3,P1A,P3A,1167.911166,1814.740814,-9.847537,-6.019441,70.388366,True,-289.611634
A_H__B_V,full360,0.000000,360.000000,45.000000,205.000000,H,A,E1-E3,P1A,P3A,1084.208045,1792.452603,-10.493481,-6.126780,59.750711,True,-300.249289
A_H__B_V,full360,0.000000,360.000000,45.000000,210.000000,H,A,E1-E3,P1A,P3A,982.228451,1748.908902,-11.351483,-6.340390,50.536883,True,-309.463117
A_H__B_V,full360,0.000000,360.000000,45.000000,215.000000,H,A,E1-E3,P1A,P3A,863.752606,1683.525690,-12.467946,-6.671339,42.914853,True,-317.085147
A_H__B_V,full360,0.000000,360.000000,45.000000,220.000000,H,A,E1-E3,P1A,P3A,732.972407,1596.677558,-13.893981,-7.131389,37.220228,True,-322.779772
A_H__B_V,full360,0.000000,360.000000,45.000000,225.000000,H,A,E1-E3,P1A,P3A,596.241201,1489.521344,-15.687294,-7.734799,34.112424,True,-325.887576
A_H__B_V,full360,0.000000,360.000000,45.000000,230.000000,H,A,E1-E3,P1A,P3A,462.189072,1364.033746,-17.899340,-8.499231,34.931332,True,-325.068668
A_H__B_V,full360,0.000000,360.000000,45.000000,235.000000,H,A,E1-E3,P1A,P3A,343.608365,1222.955673,-20.474459,-9.447519,42.453675,True,-317.546325
A_H__B_V,full360,0.000000,360.000000,45.000000,240.000000,H,A,E1-E3,P1A,P3A,263.290564,1069.472638,-22.787028,-10.612340,61.055884,True,-298.944116
A_H__B_V,full360,0.000000,360.000000,45.000000,245.000000,H,A,E1-E3,P1A,P3A,252.563248,906.723847,-23.148330,-12.046233,88.652103,True,-271.347897
A_H__B_V,full360,0.000000,360.000000,45.000000,250.000000,H,A,E1-E3,P1A,P3A,310.154108,737.363674,-21.364183,-13.842099,110.794984,True,-249.205016
A_H__B_V,full360,0.000000,360.000000,45.000000,255.000000,H,A,E1-E3,P1A,P3A,401.831044,563.368280,-19.114864,-16.179886,123.974781,True,-236.025219
A_H__B_V,full360,0.000000,360.000000,45.000000,260.000000,H,A,E1-E3,P1A,P3A,505.591684,386.306400,-17.119735,-19.457095,133.569863,True,-226.430137
A_H__B_V,full360,0.000000,360.000000,45.000000,265.000000,H,A,E1-E3,P1A,P3A,613.007937,209.590064,-15.446412,-24.768320,147.389843,True,-212.610157
A_H__B_V,full360,0.000000,360.000000,45.000000,270.000000,H,A,E1-E3,P1A,P3A,720.830505,79.318017,-14.039070,-33.208297,-145.793937,True,-145.793937
A_H__B_V,full360,0.000000,360.000000,45.000000,275.000000,H,A,E1-E3,P1A,P3A,827.325142,206.505783,-12.842209,-24.897089,-72.398475,True,-72.398475
A_H__B_V,full360,0.000000,360.000000,45.000000,280.000000,H,A,E1-E3,P1A,P3A,930.943623,402.415997,-11.817266,-19.102229,-58.529013,True,-58.529013
A_H__B_V,full360,0.000000,360.000000,45.000000,285.000000,H,A,E1-E3,P1A,P3A,1029.830535,613.596969,-10.940418,-15.438069,-51.380572,True,-51.380572
A_H__B_V,full360,0.000000,360.000000,45.000000,290.000000,H,A,E1-E3,P1A,P3A,1121.671917,837.891555,-10.198417,-12.731977,-45.436300,True,-45.436300
A_H__B_V,full360,0.000000,360.000000,45.000000,295.000000,H,A,E1-E3,P1A,P3A,1203.756660,1075.429089,-9.584959,-10.564098,-39.386963,True,-39.386963
A_H__B_V,full360,0.000000,360.000000,45.000000,300.000000,H,A,E1-E3,P1A,P3A,1273.256185,1325.572304,-9.097418,-8.747665,-32.702222,True,-32.702222
A_H__B_V,full360,0.000000,360.000000,45.000000,305.000000,H,A,E1-E3,P1A,P3A,1327.751183,1586.006173,-8.733400,-7.189636,-25.089026,True,-25.089026
A_H__B_V,full360,0.000000,360.000000,45.000000,310.000000,H,A,E1-E3,P1A,P3A,1365.959882,1852.294313,-8.486975,-5.841534,-16.360932,True,-16.360932
A_H__B_V,full360,0.000000,360.000000,45.000000,315.000000,H,A,E1-E3,P1A,P3A,1388.470607,2117.836504,-8.345000,-4.677885,-6.407629,True,-6.407629
A_H__B_V,full360,0.000000,360.000000,45.000000,320.000000,H,A,E1-E3,P1A,P3A,1398.133246,2374.296011,-8.284762,-3.685036,4.800968,True,4.800968
A_H__B_V,full360,0.000000,360.000000,45.000000,325.000000,H,A,E1-E3,P1A,P3A,1399.752991,2612.485139,-8.274705,-2.854657,17.197989,True,17.197989
A_H__B_V,full360,0.000000,360.000000,45.000000,330.000000,H,A,E1-E3,P1A,P3A,1398.953966,2823.528892,-8.279665,-2.179889,30.606417,True,30.606417
A_H__B_V,full360,0.000000,360.000000,45.000000,335.000000,H,A,E1-E3,P1A,P3A,1400.493526,2999.976490,-8.270111,-1.653377,44.747617,True,44.747617
A_H__B_V,full360,0.000000,360.000000,45.000000,340.000000,H,A,E1-E3,P1A,P3A,1406.682492,3136.540166,-8.231812,-1.266716,59.283609,True,59.283609
A_H__B_V,full360,0.000000,360.000000,45.000000,345.000000,H,A,E1-E3,P1A,P3A,1416.614252,3230.365062,-8.170701,-1.010701,73.884309,True,73.884309
A_H__B_V,full360,0.000000,360.000000,45.000000,350.000000,H,A,E1-E3,P1A,P3A,1426.530318,3281.022146,-8.110113,-0.875550,88.289790,True,88.289790
A_H__B_V,full360,0.000000,360.000000,45.000000,355.000000,H,A,E1-E3,P1A,P3A,1431.099223,3290.484501,-8.082339,-0.850537,102.338614,True,102.338614
A_H__B_V,full360,0.000000,360.000000,45.000000,0.000000,V,B,E1-E3,P1B,P3B,3132.558052,1583.596674,-1.277751,-7.202842,85.817496,True,85.817496
A_H__B_V,full360,0.000000,360.000000,45.000000,5.000000,V,B,E1-E3,P1B,P3B,3188.283823,1556.747388,-1.124594,-7.351371,106.865188,True,106.865188
A_H__B_V,full360,0.000000,360.000000,45.000000,10.000000,V,B,E1-E3,P1B,P3B,3215.700994,1563.439044,-1.050220,-7.314114,127.627930,True,127.627930
A_H__B_V,full360,0.000000,360.000000,45.000000,15.000000,V,B,E1-E3,P1B,P3B,3218.354527,1595.428889,-1.043056,-7.138185,147.161034,True,147.161034
A_H__B_V,full360,0.000000,360.000000,45.000000,20.000000,V,B,E1-E3,P1B,P3B,3199.680571,1637.376826,-1.093601,-6.912761,164.929879,True,164.929879
A_H__B_V,full360,0.000000,360.000000,45.000000,25.000000,V,B,E1-E3,P1B,P3B,3161.832584,1673.058056,-1.196956,-6.725513,-179.200904,True,180.799096
A_H__B_V,full360,0.000000,360.000000,45.000000,30.000000,V,B,E1-E3,P1B,P3B,3105.189074,1689.161733,-1.353973,-6.642309,-165.142839,True,194.857161
A_H__B_V,full360,0.000000,360.000000,45.000000,35.000000,V,B,E1-E3,P1B,P3B,3028.790037,1676.834094,-1.570350,-6.705932,-152.739641,True,207.260359
A_H__B_V,full360,0.000000,360.000000,45.000000,40.000000,V,B,E1-E3,P1B,P3B,2931.614022,1632.127287,-1.853598,-6.940653,-141.850614,True,218.149386
A_H__B_V,full360,0.000000,360.000000,45.000000,45.000000,V,B,E1-E3,P1B,P3B,2814.140835,1555.830956,-2.208817,-7.356485,-132.378756,True,227.621244
A_H__B_V,full360,0.000000,360.000000,45.000000,50.000000,V,B,E1-E3,P1B,P3B,2679.411512,1452.664756,-2.634945,-7.952426,-124.269568,True,235.730432
A_H__B_V,full360,0.000000,360.000000,45.000000,55.000000,V,B,E1-E3,P1B,P3B,2533.051328,1329.886595,-3.122854,-8.719441,-117.498040,True,242.501960
A_H__B_V,full360,0.000000,360.000000,45.000000,60.000000,V,B,E1-E3,P1B,P3B,2382.299717,1195.646994,-3.655806,-9.643674,-112.054212,True,247.945788
A_H__B_V,full360,0.000000,360.000000,45.000000,65.000000,V,B,E1-E3,P1B,P3B,2234.573578,1057.539324,-4.211840,-10.709803,-107.934823,True,252.065177
A_H__B_V,full360,0.000000,360.000000,45.000000,70.000000,V,B,E1-E3,P1B,P3B,2096.197595,921.682277,-4.767089,-11.904109,-105.147802,True,254.852198
A_H__B_V,full360,0.000000,360.000000,45.000000,75.000000,V,B,E1-E3,P1B,P3B,1971.705532,792.444766,-5.298892,-13.216354,-103.735367,True,256.264633
A_H__B_V,full360,0.000000,360.000000,45.000000,80.000000,V,B,E1-E3,P1B,P3B,1863.777778,672.729819,-5.787851,-14.638920,-103.819752,True,256.180248
A_H__B_V,full360,0.000000,360.000000,45.000000,85.000000,V,B,E1-E3,P1B,P3B,1773.633444,564.649410,-6.218456,-16.160156,-105.672217,True,254.327783
A_H__B_V,full360,0.000000,360.000000,45.000000,90.000000,V,B,E1-E3,P1B,P3B,1701.605921,470.443616,-6.578554,-17.745582,-109.791588,True,250.208412
A_H__B_V,full360,0.000000,360.000000,45.000000,95.000000,V,B,E1-E3,P1B,P3B,1647.656430,393.521672,-6.858400,-19.296360,-116.912557,True,243.087443
A_H__B_V,full360,0.000000,360.000000,45.000000,100.000000,V,B,E1-E3,P1B,P3B,1611.654173,339.196999,-7.050296,-20.586694,-127.671969,True,232.328031
A_H__B_V,full360,0.000000,360.000000,45.000000,105.000000,V,B,E1-E3,P1B,P3B,1593.347832,313.587207,-7.149522,-21.268567,-141.581854,True,218.418146
A_H__B_V,full360,0.000000,360.000000,45.000000,110.000000,V,B,E1-E3,P1B,P3B,1592.085077,319.128308,-7.156408,-21.116427,-156.259578,True,203.740422
A_H__B_V,full360,0.000000,360.000000,45.000000,115.000000,V,B,E1-E3,P1B,P3B,1606.497365,350.940687,-7.078133,-20.291059,-169.123163,True,190.876837
A_H__B_V,full360,0.000000,360.000000,45.000000,120.000000,V,B,E1-E3,P1B,P3B,1634.459201,399.878491,-6.928252,-19.157173,-179.522825,True,180.477175
A_H__B_V,full360,0.000000,360.000000,45.000000,125.000000,V,B,E1-E3,P1B,P3B,1673.490300,457.368707,-6.723270,-17.990405,171.740596,True,171.740596
A_H__B_V,full360,0.000000,360.000000,45.000000,130.000000,V,B,E1-E3,P1B,P3B,1721.342382,517.114390,-6.478388,-16.924001,163.705977,True,163.705977
A_H__B_V,full360,0.000000,360.000000,45.000000,135.000000,V,B,E1-E3,P1B,P3B,1776.078804,575.344607,-6.206489,-15.997173,155.841894,True,155.841894
A_H__B_V,full360,0.000000,360.000000,45.000000,140.000000,V,B,E1-E3,P1B,P3B,1835.103708,631.214400,-5.922521,-15.192196,148.112595,True,148.112595
A_H__B_V,full360,0.000000,360.000000,45.000000,145.000000,V,B,E1-E3,P1B,P3B,1893.647058,687.034571,-5.649753,-14.456162,140.808543,True,140.808543
A_H__B_V,full360,0.000000,360.000000,45.000000,150.000000,V,B,E1-E3,P1B,P3B,1944.355218,747.461685,-5.420221,-13.723955,134.271164,True,134.271164
A_H__B_V,full360,0.000000,360.000000,45.000000,155.000000,V,B,E1-E3,P1B,P3B,1979.291054,817.286023,-5.265540,-12.948252,128.638921,True,128.638921
A_H__B_V,full360,0.000000,360.000000,45.000000,160.000000,V,B,E1-E3,P1B,P3B,1993.573965,898.474430,-5.203086,-12.125619,123.749920,True,123.749920
A_H__B_V,full360,0.000000,360.000000,45.000000,165.000000,V,B,E1-E3,P1B,P3B,1988.058860,988.109550,-5.227149,-11.299632,119.223412,True,119.223412
A_H__B_V,full360,0.000000,360.000000,45.000000,170.000000,V,B,E1-E3,P1B,P3B,1968.796668,1078.829018,-5.311716,-10.536681,114.594906,True,114.594906
A_H__B_V,full360,0.000000,360.000000,45.000000,175.000000,V,B,E1-E3,P1B,P3B,1943.365150,1161.821381,-5.424645,-9.892946,109.391539,True,109.391539
A_H__B_V,full360,0.000000,360.000000,45.000000,180.000000,V,B,E1-E3,P1B,P3B,1916.606447,1230.651261,-5.545075,-9.393034,103.162906,True,103.162906
A_H__B_V,full360,0.000000,360.000000,45.000000,185.000000,V,B,E1-E3,P1B,P3B,1888.772838,1283.774476,-5.672139,-9.025959,95.528812,True,95.528812
A_H__B_V,full360,0.000000,360.000000,45.000000,190.000000,V,B,E1-E3,P1B,P3B,1857.048676,1324.635575,-5.819268,-8.753805,86.253694,True,86.253694
A_H__B_V,full360,0.000000,360.000000,45.000000,195.000000,V,B,E1-E3,P1B,P3B,1818.710089,1359.648699,-6.000464,-8.527199,75.317246,True,75.317246
A_H__B_V,full360,0.000000,360.000000,45.000000,200.000000,V,B,E1-E3,P1B,P3B,1773.224866,1395.217824,-6.220457,-8.302893,62.949007,True,62.949007
A_H__B_V,full360,0.000000,360.000000,45.000000,205.000000,V,B,E1-E3,P1B,P3B,1721.926926,1435.077337,-6.475439,-8.058227,49.599932,True,49.599932
A_H__B_V,full360,0.000000,360.000000,45.000000,210.000000,V,B,E1-E3,P1B,P3B,1666.065242,1478.897051,-6.761893,-7.796975,35.841133,True,35.841133
A_H__B_V,full360,0.000000,360.000000,45.000000,215.000000,V,B,E1-E3,P1B,P3B,1605.218671,1522.505532,-7.085049,-7.544556,22.218928,True,22.218928
A_H__B_V,full360,0.000000,360.000000,45.000000,220.000000,V,B,E1-E3,P1B,P3B,1537.506020,1559.436458,-7.459397,-7.336380,9.126240,True,9.126240
A_H__B_V,full360,0.000000,360.000000,45.000000,225.000000,V,B,E1-E3,P1B,P3B,1461.388528,1583.072489,-7.900420,-7.205718,-3.258442,True,-3.258442
A_H__B_V,full360,0.000000,360.000000,45.000000,230.000000,V,B,E1-E3,P1B,P3B,1377.653448,1588.584490,-8.412934,-7.175527,-14.953547,True,-14.953547
A_H__B_V,full360,0.000000,360.000000,45.000000,235.000000,V,B,E1-E3,P1B,P3B,1290.262719,1574.082713,-8.982171,-7.255183,-26.102095,True,-26.102095
A_H__B_V,full360,0.000000,360.000000,45.000000,240.000000,V,B,E1-E3,P1B,P3B,1205.713416,1540.783417,-9.570852,-7.440902,-36.875835,True,-36.875835
A_H__B_V,full360,0.000000,360.000000,45.000000,245.000000,V,B,E1-E3,P1B,P3B,1131.418062,1492.382151,-10.123271,-7.718133,-47.378783,True,-47.378783
A_H__B_V,full360,0.000000,360.000000,45.000000,250.000000,V,B,E1-E3,P1B,P3B,1073.895574,1434.049756,-10.576492,-8.064449,-57.571385,True,-57.571385
A_H__B_V,full360,0.000000,360.000000,45.000000,255.000000,V,B,E1-E3,P1B,P3B,1037.418896,1371.466443,-10.876650,-8.452030,-67.243705,True,-67.243705
A_H__B_V,full360,0.000000,360.000000,45.000000,260.000000,V,B,E1-E3,P1B,P3B,1023.487586,1310.146900,-10.994082,-8.849334,-76.058097,True,-76.058097
A_H__B_V,full360,0.000000,360.000000,45.000000,265.000000,V,B,E1-E3,P1B,P3B,1031.164202,1255.107684,-10.929177,-9.222114,-83.641374,True,-83.641374
A_H__B_V,full360,0.000000,360.000000,45.000000,270.000000,V,B,E1-E3,P1B,P3B,1057.953932,1210.782868,-10.706398,-9.534408,-89.668449,True,-89.668449
A_H__B_V,full360,0.000000,360.000000,45.000000,275.000000,V,B,E1-E3,P1B,P3B,1100.733570,1181.035505,-10.362089,-9.750474,-93.894171,True,-93.894171
A_H__B_V,full360,0.000000,360.000000,45.000000,280.000000,V,B,E1-E3,P1B,P3B,1156.411212,1169.121687,-9.933488,-9.838539,-96.140420,True,-96.140420
A_H__B_V,full360,0.000000,360.000000,45.000000,285.000000,V,B,E1-E3,P1B,P3B,1222.328014,1177.510711,-9.451978,-9.776436,-96.274249,True,-96.274249
A_H__B_V,full360,0.000000,360.000000,45.000000,290.000000,V,B,E1-E3,P1B,P3B,1296.588816,1207.534479,-8.939688,-9.557743,-94.204534,True,-94.204534
A_H__B_V,full360,0.000000,360.000000,45.000000,295.000000,V,B,E1-E3,P1B,P3B,1378.430203,1258.929680,-8.408038,-9.195704,-89.902392,True,-89.902392
A_H__B_V,full360,0.000000,360.000000,45.000000,300.000000,V,B,E1-E3,P1B,P3B,1468.509330,1329.433004,-7.858199,-8.722404,-83.433430,True,-83.433430
A_H__B_V,full360,0.000000,360.000000,45.000000,305.000000,V,B,E1-E3,P1B,P3B,1568.820957,1414.643023,-7.284266,-8.182796,-74.982288,True,-74.982288
A_H__B_V,full360,0.000000,360.000000,45.000000,310.000000,V,B,E1-E3,P1B,P3B,1682.020745,1508.297228,-6.679107,-7.625995,-64.850535,True,-64.850535
A_H__B_V,full360,0.000000,360.000000,45.000000,315.000000,V,B,E1-E3,P1B,P3B,1810.292361,1602.902597,-6.040759,-7.097591,-53.417102,True,-53.417102
A_H__B_V,full360,0.000000,360.000000,45.000000,320.000000,V,B,E1-E3,P1B,P3B,1954.267528,1690.431589,-5.376053,-6.635782,-41.066244,True,-41.066244
A_H__B_V,full360,0.000000,360.000000,45.000000,325.000000,V,B,E1-E3,P1B,P3B,2112.471601,1762.815591,-4.699916,-6.271596,-28.103587,True,-28.103587
A_H__B_V,full360,0.000000,360.000000,45.000000,330.000000,V,B,E1-E3,P1B,P3B,2281.306347,1812.348952,-4.032061,-6.030897,-14.684654,True,-14.684654
A_H__B_V,full360,0.000000,360.000000,45.000000,335.000000,V,B,E1-E3,P1B,P3B,2455.233158,1832.537079,-3.393879,-5.934678,-0.773935,True,-0.773935
A_H__B_V,full360,0.000000,360.000000,45.000000,340.000000,V,B,E1-E3,P1B,P3B,2626.997591,1819.850254,-2.806540,-5.995020,13.853289,True,13.853289
A_H__B_V,full360,0.000000,360.000000,45.000000,345.000000,V,B,E1-E3,P1B,P3B,2788.158886,1776.158590,-2.289383,-6.206099,29.556520,True,29.556520
A_H__B_V,full360,0.000000,360.000000,45.000000,350.000000,V,B,E1-E3,P1B,P3B,2930.243542,1710.726737,-1.857659,-6.532121,46.712975,True,46.712975
A_H__B_V,full360,0.000000,360.000000,45.000000,355.000000,V,B,E1-E3,P1B,P3B,3046.357725,1640.004617,-1.520116,-6.898832,65.529991,True,65.529991
A_H__B_V,full360,0.000000,360.000000,45.000000,0.000000,H,A,E2-E4,P2A,P4A,2311.719213,2240.193242,-3.917032,-4.190024,-75.849757,True,-75.849757
A_H__B_V,full360,0.000000,360.000000,45.000000,5.000000,H,A,E2-E4,P2A,P4A,2365.425047,2203.824470,-3.717550,-4.332194,-63.935357,True,-63.935357
A_H__B_V,full360,0.000000,360.000000,45.000000,10.000000,H,A,E2-E4,P2A,P4A,2383.004840,2158.865323,-3.653235,-4.511223,-51.708711,True,-51.708711
A_H__B_V,full360,0.000000,360.000000,45.000000,15.000000,H,A,E2-E4,P2A,P4A,2361.045950,2113.732443,-3.733645,-4.694733,-39.151509,True,-39.151509
A_H__B_V,full360,0.000000,360.000000,45.000000,20.000000,H,A,E2-E4,P2A,P4A,2299.774064,2074.579577,-3.962030,-4.857132,-26.350026,True,-26.350026
A_H__B_V,full360,0.000000,360.000000,45.000000,25.000000,H,A,E2-E4,P2A,P4A,2202.846446,2043.133152,-4.336049,-4.989800,-13.488277,True,-13.488277
A_H__B_V,full360,0.000000,360.000000,45.000000,30.000000,H,A,E2-E4,P2A,P4A,2076.877957,2016.164382,-4.847514,-5.105215,-0.787959,True,-0.787959
A_H__B_V,full360,0.000000,360.000000,45.000000,35.000000,H,A,E2-E4,P2A,P4A,1930.655367,1987.051566,-5.481638,-5.231551,11.557077,True,11.557077
A_H__B_V,full360,0.000000,360.000000,45.000000,40.000000,H,A,E2-E4,P2A,P4A,1773.943551,1948.501237,-6.216938,-5.401720,23.406640,True,23.406640
A_H__B_V,full360,0.000000,360.000000,45.000000,45.000000,H,A,E2-E4,P2A,P4A,1616.004026,1894.976781,-7.026885,-5.643656,34.657362,True,34.657362
A_H__B_V,full360,0.000000,360.000000,45.000000,50.000000,H,A,E2-E4,P2A,P4A,1464.227197,1823.932970,-7.883564,-5.975556,45.211940,True,45.211940
A_H__B_V,full360,0.000000,360.000000,45.000000,55.000000,H,A,E2-E4,P2A,P4A,1323.338835,1735.799711,-8.762312,-6.405741,54.961240,True,54.961240
A_H__B_V,full360,0.000000,360.000000,45.000000,60.000000,H,A,E2-E4,P2A,P4A,1195.378038,1633.176144,-9.645628,-6.935073,63.786094,True,63.786094
A_H__B_V,full360,0.000000,360.000000,45.000000,65.000000,H,A,E2-E4,P2A,P4A,1080.257646,1519.797184,-10.525187,-7.560021,71.569733,True,71.569733
A_H__B_V,full360,0.000000,360.000000,45.000000,70.000000,H,A,E2-E4,P2A,P4A,976.521251,1399.675820,-11.402100,-8.275184,78.210062,True,78.210062
A_H__B_V,full360,0.000000,360.000000,45.000000,75.000000,H,A,E2-E4,P2A,P4A,882.013188,1276.581603,-12.286232,-9.074762,83.629816,True,83.629816
A_H__B_V,full360,0.000000,360.000000,45.000000,80.000000,H,A,E2-E4,P2A,P4A,794.415019,1153.818856,-13.194785,-9.952981,87.791009,True,87.791009
