theta_deg,phi_deg,element,source_a,source_b,a_h_mag,a_v_mag,b_h_mag,b_v_mag,a_h_phase_deg,a_v_phase_deg,b_h_phase_deg,b_v_phase_deg,xpd_a_as_h_db,xpd_a_as_v_db,xpd_b_as_h_db,xpd_b_as_v_db,ab_pol_corr_mag,ab_pol_orthogonality_db,response_condition_db
45.000000,50.000000,E4,P4A,P4B,1823.932970,1300.776476,1743.564501,1041.426976,176.244273,62.488956,171.888126,-70.800785,2.936124,-2.936124,4.476184,-4.476184,0.561823,5.008010,5.593725
45.000000,55.000000,E1,P1A,P1B,708.324546,2510.282029,1117.831800,2533.051328,-158.184691,-62.727086,52.617209,-62.414971,-10.989804,10.989804,-7.105351,7.105351,0.787983,2.069668,9.279533
45.000000,55.000000,E2,P2A,P2B,1323.338835,2804.513857,497.202620,2399.546381,-132.249196,-64.503659,-1.834402,-60.861342,-6.523731,6.523731,-13.671915,13.671915,0.836611,1.549526,10.791461
45.000000,55.000000,E3,P3A,P3B,1629.152469,942.915098,1797.863194,1329.886595,-13.700970,-75.673291,-7.990945,55.083069,4.749783,-4.749783,2.618841,-2.618841,0.578658,4.751565,5.955092
45.000000,55.000000,E4,P4A,P4B,1735.799711,1169.512052,1554.143634,937.845833,172.789563,58.216376,170.581635,-80.864936,3.429898,-3.429898,4.387194,-4.387194,0.536941,5.401476,5.371734
45.000000,60.000000,E1,P1A,P1B,631.548907,2350.376730,1010.014410,2382.299717,-159.584231,-61.092311,58.870672,-60.342309,-11.414610,11.414610,-7.453377,7.453377,0.811365,1.815674,9.843918
45.000000,60.000000,E2,P2A,P2B,1195.378038,2621.838323,459.746220,2231.555789,-125.986048,-62.149010,-2.584528,-58.729055,-6.822013,6.822013,-13.721792,13.721792,0.852433,1.386797,11.264526
45.000000,60.000000,E3,P3A,P3B,1407.526817,837.863630,1703.176749,1195.646994,-15.549984,-84.927803,-10.146203,51.711903,4.505667,-4.505667,3.073135,-3.073135,0.555425,5.107488,5.869668
45.000000,60.000000,E4,P4A,P4B,1633.176144,1035.451780,1365.132557,853.488970,170.227858,54.678696,170.733473,-90.895322,3.958063,-3.958063,4.079538,-4.079538,0.506002,5.916961,5.121039
45.000000,65.000000,E1,P1A,P1B,552.787351,2203.338430,912.946624,2234.573578,-162.127957,-60.170100,65.296544,-58.935863,-12.010462,12.010462,-7.774985,7.774985,0.836821,1.547353,10.533141
45.000000,65.000000,E2,P2A,P2B,1080.257646,2434.612084,419.281662,2077.289900,-119.857522,-60.273146,-4.140567,-57.180833,-7.058048,7.058048,-13.899825,13.899825,0.868288,1.226725,11.776283
45.000000,65.000000,E3,P3A,P3B,1192.639244,758.675841,1594.292987,1057.539324,-15.926421,-93.916824,-11.338246,48.998960,3.929057,-3.929057,3.565432,-3.565432,0.520347,5.674138,5.723548
45.000000,65.000000,E4,P4A,P4B,1519.797184,905.596609,1184.457893,787.511529,168.572745,51.920508,172.695162,-100.294940,4.497017,-4.497017,3.545254,-3.545254,0.469764,6.562404,4.847826
45.000000,70.000000,E1,P1A,P1B,471.293873,2075.235141,829.042591,2096.197595,-166.119317,-59.931933,71.773675,-58.151006,-12.875510,12.875510,-8.057108,8.057108,0.864057,1.269148,11.387682
45.000000,70.000000,E2,P2A,P2B,976.521251,2249.949120,375.349022,1942.375019,-113.928021,-58.818148,-6.832496,-56.199910,-7.249820,7.249820,-14.277956,14.277956,0.884807,1.063028,12.362786
45.000000,70.000000,E3,P3A,P3B,989.689761,701.834386,1476.587075,921.682277,-14.310736,-102.031591,-11.532006,46.996796,2.985289,-2.985289,4.093557,-4.093557,0.469238,6.572129,5.496195
45.000000,70.000000,E4,P4A,P4B,1399.675820,785.437154,1020.077637,735.543574,167.861917,49.992733,176.962598,-108.485463,5.018320,-5.018320,2.840496,-2.840496,0.432247,7.285351,4.577308
45.000000,75.000000,E1,P1A,P1B,387.349180,1969.895282,758.654610,1971.705532,-172.251594,-60.342315,78.137233,-57.939086,-14.126810,14.126810,-8.295959,8.295959,0.892105,0.991676,12.452103
45.000000,75.000000,E2,P2A,P2B,882.013188,2073.827622,328.039697,1830.075450,-108.203247,-57.727771,-11.293340,-55.788191,-7.425952,7.425952,-14.930852,14.930852,0.902436,0.891674,13.076810
45.000000,75.000000,E3,P3A,P3B,804.203934,661.292223,1355.312025,792.444766,-9.839958,-108.751854,-10.677825,45.796281,1.699456,-1.699456,4.661406,-4.661406,0.398374,7.994175,5.184653
45.000000,75.000000,E4,P4A,P4B,1276.581603,678.638849,880.925093,692.103503,168.166937,48.943976,-175.861622,-115.049743,5.488197,-5.488197,2.095359,-2.095359,0.404335,7.865169,4.367710
45.000000,80.000000,E1,P1A,P1B,303.411536,1888.915983,700.607872,1863.777778,177.860183,-61.363686,84.224789,-58.254370,-15.883611,15.883611,-8.498382,8.498382,0.919321,0.730659,13.771393
45.000000,80.000000,E2,P2A,P2B,794.415019,1910.930555,278.748042,1741.654066,-102.609577,-56.950608,-18.697504,-55.961930,-7.623949,7.623949,-15.915001,15.915001,0.921226,0.712680,13.991698
45.000000,80.000000,E3,P3A,P3B,644.529797,630.899980,1234.837424,672.729819,-1.095404,-113.756914,-8.714452,45.565381,0.185650,-0.185650,5.275382,-5.275382,0.310880,10.148145,4.814834
45.000000,80.000000,E4,P4A,P4B,1153.818856,587.147894,777.839417,652.701716,169.599414,48.817145,-165.321735,-119.741276,5.867802,-5.867802,1.523504,-1.523504,0.405286,7.844774,4.320777
45.000000,85.000000,E1,P1A,P1B,227.568642,1832.131150,653.006598,1773.633444,160.457442,-62.958860,89.924099,-59.061406,-18.116883,18.116883,-8.678926,8.678926,0.943585,0.504383,15.374594
45.000000,85.000000,E2,P2A,P2B,711.766249,1764.824508,231.958318,1677.001384,-96.963929,-56.447101,-31.140427,-56.741822,-7.887283,7.887283,-17.182469,17.182469,0.940585,0.532042,15.203290
45.000000,85.000000,E3,P3A,P3B,526.054675,606.120493,1118.176220,564.649410,13.789440,-116.887302,-5.567840,46.610811,-1.230562,1.230562,5.934627,-5.934627,0.245678,12.192677,4.472988
45.000000,85.000000,E4,P4A,P4B,1034.180882,511.601205,722.335400,614.880652,172.315296,49.652808,-151.731460,-122.393626,6.113299,-6.113299,1.398961,-1.398961,0.449485,6.945701,4.559883
45.000000,90.000000,E1,P1A,P1B,182.828092,1798.257933,614.030096,1701.605921,129.684271,-65.092371,95.199044,-60.343257,-19.856181,19.856181,-8.853387,8.853387,0.962645,0.330676,17.204943
45.000000,90.000000,E2,P2A,P2B,633.122612,1638.254582,198.803287,1635.234301,-90.930190,-56.204115,-51.386380,-58.143360,-8.257871,8.257871,-18.303129,18.303129,0.958974,0.363861,16.808327
45.000000,90.000000,E3,P3A,P3B,472.652512,584.795402,1006.825913,470.443616,35.043674,-118.037889,-1.135874,49.448331,-1.849240,1.849240,6.608936,-6.608936,0.298765,10.493416,4.363179
45.000000,90.000000,E4,P4A,P4B,919.977060,451.911158,721.126399,578.458315,176.521939,51.492449,-136.702637,-122.817744,6.174479,-6.174479,1.914787,-1.914787,0.524529,5.604618,5.147549
45.000000,95.000000,E1,P1A,P1B,203.727273,1785.480640,582.521539,1647.656430,92.657002,-67.733573,100.082290,-62.111047,-18.854119,18.854119,-9.031093,9.031093,0.974503,0.224333,18.893232
45.000000,95.000000,E2,P2A,P2B,559.464061,1533.326531,198.107177,1615.086541,-83.975967,-56.259005,-78.420224,-60.173102,-8.757249,8.757249,-18.225912,18.225912,0.973619,0.232218,18.739777
45.000000,95.000000,E3,P3A,P3B,499.871218,567.378787,901.004610,393.521672,57.599356,-117.086724,4.754840,54.801510,-1.100299,1.100299,7.195167,-7.195167,0.445751,7.018158,4.788391
45.000000,95.000000,E4,P4A,P4B,813.126912,407.879065,770.386833,545.603484,-177.503207,54.359091,-122.400547,-120.756418,5.992538,-5.992538,2.996634,-2.996634,0.597774,4.469258,6.000414
45.000000,100.000000,E1,P1A,P1B,284.036474,1791.814940,558.297603,1611.654173,67.661274,-70.863976,104.635613,-64.414007,-15.998381,15.998381,-9.208122,9.208122,0.977750,0.195445,19.505276
45.000000,100.000000,E2,P2A,P2B,494.820730,1451.393577,240.323937,1615.021695,-75.404606,-56.728789,-103.185494,-62.833621,-9.346746,9.346746,-16.547627,16.547627,0.980490,0.171138,20.082569
45.000000,100.000000,E3,P3A,P3B,593.068627,557.016431,800.471600,339.196999,75.417647,-113.926212,12.434382,63.257962,0.544739,-0.544739,7.457879,-7.457879,0.586023,4.641711,5.865777
45.000000,100.000000,E4,P4A,P4B,715.469114,379.636616,857.909795,521.095617,-169.370559,58.183770,-110.061337,-115.964252,5.504456,-5.504456,4.330484,-4.330484,0.640661,3.867433,6.899954
45.000000,105.000000,E1,P1A,P1B,394.255203,1815.170385,542.160834,1593.347832,53.258424,-74.488480,108.885128,-67.346381,-13.262799,13.262799,-9.363649,9.363649,0.971794,0.248518,18.488542
45.000000,105.000000,E2,P2A,P2B,447.009830,1392.600036,315.596773,1633.074366,-64.687411,-57.829152,-120.373512,-66.135524,-9.870187,9.870187,-14.277468,14.277468,0.975056,0.219413,19.059482
45.000000,105.000000,E3,P3A,P3B,724.253658,559.385329,706.255817,313.587207,87.778676,-108.629402,22.517695,74.235473,2.243593,-2.243593,7.052074,-7.052074,0.671595,3.457855,7.249721
45.000000,105.000000,E4,P4A,P4B,629.631611,367.654548,970.584969,512.404468,-158.513886,62.684189,-99.717624,-108.496844,4.672932,-4.672932,5.548413,-5.548413,0.638264,3.899999,7.611636
45.000000,110.000000,E1,P1A,P1B,519.151204,1853.108204,535.581262,1592.085077,43.874561,-78.645775,112.748911,-71.044339,-11.052138,11.052138,-9.462818,9.462818,0.956986,0.381885,16.663459
45.000000,110.000000,E2,P2A,P2B,425.916913,1355.292810,410.301921,1666.499053,-52.341483,-59.861151,-131.842977,-70.110484,-10.054165,10.054165,-12.174030,12.174030,0.954085,0.408257,16.451482
45.000000,110.000000,E3,P3A,P3B,873.117136,581.642820,623.696153,319.128308,96.447402,-101.689242,35.998391,85.215239,3.528323,-3.528323,5.820155,-5.820155,0.684547,3.291929,8.243088
45.000000,110.000000,E4,P4A,P4B,560.918967,372.150642,1098.800355,528.291712,-144.186604,67.305356,-90.879246,-99.132941,3.563627,-3.563627,6.360900,-6.360900,0.587127,4.625352,8.038945
45.000000,115.000000,E1,P1A,P1B,651.684764,1902.411408,540.036718,1606.497365,36.743158,-83.409873,115.996739,-75.665743,-9.305337,9.305337,-9.469135,9.469135,0.934617,0.587330,14.846373
45.000000,115.000000,E2,P2A,P2B,437.189867,1335.787805,515.503485,1711.412179,-40.570186,-63.154626,-140.127585,-74.817114,-9.701348,9.701348,-10.422460,10.422460,0.917691,0.746072,13.943370
45.000000,115.000000,E3,P3A,P3B,1027.531025,629.903533,566.521917,350.940687,102.931040,-94.071197,53.923311,93.457421,4.250418,-4.250418,4.159660,-4.159660,0.617290,4.190220,8.365761
45.000000,115.000000,E4,P4A,P4B,519.969440,392.138131,1236.598461,575.062111,-125.853549,71.367110,-83.048633,-89.397666,2.450775,-2.450775,6.650279,-6.650279,0.501618,5.992529,8.252316
45.000000,120.000000,E1,P1A,P1B,786.749667,1958.730583,556.154294,1634.459201,30.598751,-88.875663,118.291836,-81.350607,-7.922763,7.922763,-9.363576,9.363576,0.906733,0.850416,13.297388
45.000000,120.000000,E2,P2A,P2B,476.219086,1328.986290,625.200558,1762.716378,-31.932177,-67.985013,-146.755686,-80.333292,-8.914274,8.914274,-9.003262,9.003262,0.869870,1.210908,11.961919
45.000000,120.000000,E3,P3A,P3B,1179.272359,706.162070,557.501688,399.878491,108.149371,-86.846934,75.845110,98.172218,4.454195,-4.454195,2.886363,-2.886363,0.493633,6.131918,7.865589
45.000000,120.000000,E4,P4A,P4B,522.748327,424.781655,1380.069654,652.866599,-104.408035,74.353051,-75.877287,-80.785110,1.802538,-1.802538,6.501531,-6.501531,0.432756,7.275137,8.373399
45.000000,125.000000,E1,P1A,P1B,919.080817,2016.622868,582.982075,1673.490300,24.807140,-95.127622,119.319372,-88.167852,-6.825420,6.825420,-9.159360,9.159360,0.875802,1.151883,12.035713
45.000000,125.000000,E2,P2A,P2B,530.803192,1329.884522,734.417699,1814.577933,-27.451960,-74.494548,-152.579983,-86.733248,-7.977608,7.977608,-7.856650,7.856650,0.816930,1.756298,10.472972
45.000000,125.000000,E3,P3A,P3B,1321.516768,806.865463,615.691042,457.368707,112.653392,-80.690946,98.244321,100.091553,4.285431,-4.285431,2.581928,-2.581928,0.393759,8.095399,7.235958
45.000000,125.000000,E4,P4A,P4B,582.007260,465.576971,1525.532282,755.712576,-82.919798,76.075464,-69.148766,-73.981089,1.938738,-1.938738,6.101295,-6.101295,0.440248,7.126057,8.481084
45.000000,130.000000,E1,P1A,P1B,1042.900731,2070.115561,617.682442,1721.342382,19.020657,-102.198873,118.928292,-96.060071,-5.955032,5.955032,-8.902040,8.902040,0.844328,1.469779,11.021028
45.000000,130.000000,E2,P2A,P2B,588.343292,1335.294537,838.385529,1861.461565,-26.731129,-82.631759,-158.112274,-94.052394,-7.118925,7.118925,-6.928206,6.928206,0.765260,2.323817,9.379206
45.000000,130.000000,E3,P3A,P3B,1447.948624,923.933175,739.106605,517.114390,116.807654,-75.726047,117.285065,100.233952,3.902252,-3.902252,3.102409,-3.102409,0.384082,8.311521,6.730660
45.000000,130.000000,E4,P4A,P4B,696.674312,509.357791,1668.244214,874.484824,-64.377260,76.618368,-62.713517,-68.886082,2.720137,-2.720137,5.610147,-5.610147,0.506986,5.900083,8.602066
45.000000,135.000000,E1,P1A,P1B,1152.453121,2113.535176,655.657105,1776.078804,13.035219,-110.033241,117.199692,-104.803916,-5.267724,5.267724,-8.655709,8.655709,0.814518,1.781982,10.207249
45.000000,135.000000,E2,P2A,P2B,639.817618,1344.568787,932.458262,1899.258399,-28.913206,-92.105690,-163.696729,-102.246350,-6.450537,6.450537,-6.179093,6.179093,0.719970,2.853716,8.594090
45.000000,135.000000,E3,P3A,P3B,1552.894380,1047.085515,909.826114,575.344607,120.894278,-71.705031,132.187342,99.354190,3.423195,-3.423195,3.980607,-3.980607,0.432919,7.271861,6.398876
45.000000,135.000000,E4,P4A,P4B,854.132688,551.857166,1802.170718,999.975224,-49.453102,76.202794,-56.429838,-65.038737,3.793973,-3.793973,5.116134,-5.116134,0.582058,4.700677,8.734121
45.000000,140.000000,E1,P1A,P1B,1243.001375,2142.088086,690.943889,1835.103708,6.725111,-118.464056,114.424321,-114.011097,-4.727314,4.727314,-8.484357,8.484357,0.787964,2.069869,9.554943
45.000000,140.000000,E2,P2A,P2B,680.456884,1358.390221,1012.603692,1925.723349,-33.172230,-102.373065,-169.589036,-111.155827,-6.004479,6.004479,-5.583088,5.583088,0.684287,3.295228,8.046903
45.000000,140.000000,E3,P3A,P3B,1632.166269,1166.389849,1108.744366,631.214400,125.164346,-68.235162,144.038039,97.876308,2.918413,-2.918413,4.893091,-4.893091,0.490509,6.187061,6.214794
45.000000,140.000000,E4,P4A,P4B,1038.804416,591.361279,1921.014733,1124.744692,-37.319597,75.111399,-50.134880,-61.917154,4.893618,-4.893618,4.649535,-4.649535,0.643514,3.828841,8.862215
45.000000,145.000000,E1,P1A,P1B,1311.852300,2151.937269,716.857322,1893.647058,0.014662,-127.220648,111.030770,-123.190168,-4.298893,4.298893,-8.437326,8.437326,0.765282,2.323568,9.030272
45.000000,145.000000,E2,P2A,P2B,709.143097,1376.164212,1076.281004,1939.754713,-38.800551,-112.711763,-175.985388,-120.496487,-5.758728,5.758728,-5.116423,5.116423,0.658993,3.622380,7.675082
45.000000,145.000000,E3,P3A,P3B,1684.300585,1274.519338,1320.648203,687.034571,129.853201,-64.914562,154.027698,96.001289,2.421463,-2.421463,5.676171,-5.676171,0.539497,5.360225,6.147444
45.000000,145.000000,E4,P4A,P4B,1236.358072,629.692428,2020.115789,1243.852130,-26.952152,73.689854,-43.652549,-59.056978,5.860316,-5.860316,4.212150,-4.212150,0.688336,3.243986,8.965265
45.000000,150.000000,E1,P1A,P1B,1358.937927,2140.157299,727.026769,1944.355218,-7.127589,-135.964338,107.507547,-131.855654,-3.944921,3.944921,-8.544504,8.544504,0.745913,2.546237,8.599728
45.000000,150.000000,E2,P2A,P2B,727.410866,1394.335473,1123.289223,1940.057587,-45.186699,-122.400726,176.980310,-129.892131,-5.651750,5.651750,-4.746461,4.746461,0.642024,3.848978,7.415652
45.000000,150.000000,E3,P3A,P3B,1711.634278,1368.184309,1533.420675,747.461685,135.166524,-61.403519,162.971607,93.873182,1.945327,-1.945327,6.241448,-6.241448,0.578036,4.760905,6.181279
45.000000,150.000000,E4,P4A,P4B,1434.553721,671.722726,2098.214317,1354.562466,-17.588485,72.361384,-36.831402,-56.085066,6.590535,-6.590535,3.801016,-3.801016,0.718806,2.867770,9.024636
45.000000,155.000000,E1,P1A,P1B,1386.619786,2105.210516,716.885551,1979.291054,-14.682115,-144.341471,104.339022,-139.633340,-3.626763,3.626763,-8.821197,8.821197,0.728369,2.752966,8.227857
45.000000,155.000000,E2,P2A,P2B,738.388394,1407.659902,1155.992192,1924.563275,-51.808491,-130.926936,169.261475,-138.948128,-5.604258,5.604258,-4.427546,4.427546,0.629045,4.026372,7.201292
45.000000,155.000000,E3,P3A,P3B,1720.461451,1448.069839,1736.532160,817.286023,141.243507,-57.472650,171.362294,91.727738,1.497109,-1.497109,6.546175,-6.546175,0.608161,4.319631,6.308900
45.000000,155.000000,E4,P4A,P4B,1623.193082,723.244303,2157.900540,1455.298483,-8.749061,71.571107,-29.594124,-52.732476,7.021703,-7.021703,3.421587,-3.421587,0.738293,2.635429,9.037332
45.000000,160.000000,E1,P1A,P1B,1398.710355,2047.943240,685.242675,1993.573965,-22.571907,-152.033105,101.956302,-146.317596,-3.311803,3.311803,-9.275759,9.275759,0.710963,2.963062,7.882453
45.000000,160.000000,E2,P2A,P2B,745.877891,1412.543941,1178.485409,1891.470439,-58.264559,-138.111145,160.930269,-147.332202,-5.546685,5.546685,-4.109507,4.109507,0.615032,4.222045,6.965880
45.000000,160.000000,E3,P3A,P3B,1719.730626,1517.000237,1920.358315,898.474430,148.112875,-53.033527,179.496027,89.932484,1.089496,-1.089496,6.597531,-6.597531,0.632367,3.980612,6.516177
45.000000,160.000000,E4,P4A,P4B,1793.983979,788.030179,2204.168833,1544.409979,-0.154279,71.648984,-21.971386,-48.842317,7.145514,-7.145514,3.089645,-3.089645,0.750530,2.492641,9.024651
