summary_type,assignment,scope,phi_start_deg,phi_width_deg,theta_deg,basis,feed,baseline,valid_count,slope_abs_p95_deg_per_deg,slope_abs_max_deg_per_deg,curvature_rms_deg_per_deg2,curvature_abs_max_deg_per_deg2,hv_pdoa_delta_bias_median_deg,hv_pdoa_delta_rms_deg,hv_pdoa_delta_p95_abs_deg,hv_pdoa_delta_max_abs_deg,hv_pdoa_residual_rms_after_bias_deg,hv_pdoa_residual_p95_abs_after_bias_deg,hv_pdoa_residual_max_abs_after_bias_deg,azimuth_error_rms_equiv_deg,azimuth_error_p95_abs_equiv_deg,azimuth_error_max_abs_equiv_deg,azimuth_error_sample_count,phase_residual_p95_target_deg,phase_residual_target_pass,curve_count,hv_residual_p95_abs_avg_deg,hv_residual_p95_abs_max_deg,azimuth_error_p95_abs_avg_equiv_deg,azimuth_error_p95_abs_max_equiv_deg
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,V,B,E2-E3,72,3.871290,4.280636,0.057203,0.149362,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,45.000000,H_vs_V,A/B,E2-E3,72,,,,,3.875441,36.644386,75.698998,85.034441,35.115553,71.823556,81.158999,28.171990,71.462067,125.479311,66,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,H,A,E3-E4,72,5.384393,20.993667,0.437918,2.454818,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,V,B,E3-E4,72,1.213068,1.337335,0.034959,0.124358,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,45.000000,H_vs_V,A/B,E3-E4,72,,,,,23.814890,46.912825,80.329634,171.851345,31.811852,56.514744,148.036455,17.690866,37.311087,51.900990,25,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,H,A,E4-E1,72,6.625675,9.233196,0.254249,1.055698,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,45.000000,V,B,E4-E1,72,3.483215,3.873925,0.054044,0.132186,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,45.000000,H_vs_V,A/B,E4-E1,72,,,,,240.623224,96.133966,166.652959,174.518413,73.507737,143.692467,172.602913,39.788645,88.357918,147.864783,66,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,H,A,E1-E3,72,6.579265,12.069262,0.212425,0.738788,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,V,B,E1-E3,72,2.743242,3.150940,0.041708,0.079950,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,60.000000,H_vs_V,A/B,E1-E3,72,,,,,-243.031279,95.111057,139.262607,165.645937,53.204357,115.742705,177.635254,34.036851,61.916639,131.869894,62,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,H,A,E2-E4,71,3.423263,15.146523,0.452886,2.803392,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,V,B,E2-E4,72,4.076879,4.360884,0.055286,0.127573,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,60.000000,H_vs_V,A/B,E2-E4,71,,,,,91.974564,97.460568,132.971928,165.888309,33.413592,54.657192,139.257338,14.274589,32.863258,41.099843,66,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,H,A,E1-E2,72,3.852030,8.456657,0.141427,0.547294,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,V,B,E1-E2,72,1.210979,1.385417,0.030991,0.090280,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,60.000000,H_vs_V,A/B,E1-E2,72,,,,,-321.578064,55.629033,149.485626,177.623593,55.291622,127.907604,168.938862,28.079378,47.148727,70.152954,44,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,H,A,E2-E3,72,2.647278,3.684702,0.098983,0.254555,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,V,B,E2-E3,72,3.418786,3.885503,0.045106,0.083345,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,60.000000,H_vs_V,A/B,E2-E3,72,,,,,66.940274,66.815332,86.449529,90.553530,26.915103,69.676405,81.951719,18.596340,36.246804,81.250959,65,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,H,A,E3-E4,71,3.027254,14.341495,0.470245,3.039517,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,V,B,E3-E4,72,1.485086,1.640346,0.030523,0.069953,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,60.000000,H_vs_V,A/B,E3-E4,71,,,,,34.405370,43.107124,67.558217,156.214623,26.603819,44.124092,121.809253,22.942778,49.594015,60.976326,61,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,H,A,E4-E1,71,6.641248,16.839199,0.467615,2.695470,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,60.000000,V,B,E4-E1,72,3.335978,3.601376,0.047695,0.097556,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,60.000000,H_vs_V,A/B,E4-E1,71,,,,,220.420521,115.587316,161.782543,179.769818,57.677945,125.285778,169.619316,27.775016,54.355498,131.205802,67,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,H,A,E1-E3,71,11.961527,19.226918,0.630539,3.200057,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,V,B,E1-E3,72,1.629199,1.708630,0.023916,0.045224,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,75.000000,H_vs_V,A/B,E1-E3,71,,,,,-214.239206,128.422669,161.333507,179.935484,43.598031,102.508372,168.763790,22.985713,52.113568,77.980952,58,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,H,A,E2-E4,72,4.300716,31.710925,0.968003,5.747432,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,V,B,E2-E4,72,4.382830,4.622212,0.055007,0.096467,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,75.000000,H_vs_V,A/B,E2-E4,72,,,,,487.651756,131.852162,167.639663,179.678434,54.476139,141.648914,174.615254,27.444992,57.665612,119.087163,70,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,H,A,E1-E2,72,6.818327,13.494017,0.411557,1.925758,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,V,B,E1-E2,72,2.096338,2.326797,0.033707,0.077690,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,75.000000,H_vs_V,A/B,E1-E2,72,,,,,-320.738081,60.051172,167.501785,176.856873,60.273335,137.594954,172.542828,44.355779,107.897921,139.882215,61,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,H,A,E2-E3,71,4.311885,15.704253,0.407394,2.286914,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,V,B,E2-E3,72,2.910571,3.113178,0.038901,0.084927,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,75.000000,H_vs_V,A/B,E2-E3,71,,,,,99.663548,109.606450,158.882221,178.778631,45.581546,96.542120,106.857972,31.676244,73.375632,129.513644,62,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,H,A,E3-E4,71,6.068284,12.727686,0.250575,1.171716,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,V,B,E3-E4,72,1.988043,2.114874,0.030419,0.063450,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,75.000000,H_vs_V,A/B,E3-E4,71,,,,,340.494864,48.511604,87.068912,152.483421,58.666704,104.064297,171.988556,39.208789,74.616951,92.656392,66,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,H,A,E4-E1,72,10.055976,32.359785,0.985093,6.019075,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,75.000000,V,B,E4-E1,72,3.055405,3.274436,0.045133,0.099309,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,75.000000,H_vs_V,A/B,E4-E1,72,,,,,-149.149186,143.210978,177.893507,178.576018,36.045426,78.658961,137.804670,13.916463,22.635860,41.303026,67,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,H,A,E1-E3,72,2.635571,6.069425,0.278917,1.549943,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,V,B,E1-E3,72,0.690045,1.012332,0.027738,0.106211,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,90.000000,H_vs_V,A/B,E1-E3,72,,,,,169.177090,167.365872,178.874910,179.648884,11.623704,22.589113,50.796927,14.818564,23.146680,23.146680,13,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,H,A,E2-E4,72,5.006624,34.891427,1.254178,7.231053,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,V,B,E2-E4,72,4.498553,4.728871,0.054398,0.083437,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,90.000000,H_vs_V,A/B,E2-E4,72,,,,,220.025636,150.553579,178.487207,179.555943,60.292218,130.028613,169.816206,22.550355,47.347292,68.352434,68,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,H,A,E1-E2,72,9.472087,34.589370,1.336081,7.173908,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,V,B,E1-E2,72,2.758210,3.034253,0.037365,0.087538,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,90.000000,H_vs_V,A/B,E1-E2,72,,,,,-26.600197,70.090402,172.056157,174.157727,76.079147,161.343646,170.032975,44.094013,117.808641,154.590397,68,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,H,A,E2-E3,72,8.571357,34.530523,1.265025,7.164495,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,V,B,E2-E3,72,2.714131,2.864972,0.048348,0.160092,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,90.000000,H_vs_V,A/B,E2-E3,72,,,,,200.392573,131.719962,178.611560,179.324921,80.514753,166.068029,178.068816,41.177984,84.172881,128.645640,67,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,H,A,E3-E4,72,6.843694,15.890361,0.496955,2.155453,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,V,B,E3-E4,72,3.033282,3.802594,0.052395,0.137648,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,90.000000,H_vs_V,A/B,E3-E4,72,,,,,334.347428,68.768414,150.961927,174.489525,79.394285,165.670968,176.614499,56.012466,90.111579,297.261737,66,10.000000,False,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,H,A,E4-E1,72,8.987566,20.325868,0.667099,3.285577,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,full360,0.000000,360.000000,90.000000,V,B,E4-E1,72,2.784349,2.871629,0.042300,0.094238,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,full360,0.000000,360.000000,90.000000,H_vs_V,A/B,E4-E1,72,,,,,-151.086318,137.197700,161.300589,177.362249,68.218132,143.215175,178.281993,40.209114,65.786598,147.556885,65,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,H,A,E1-E3,55,5.519244,14.679092,0.456109,2.381040,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,V,B,E1-E3,55,3.906621,4.209539,0.050570,0.089297,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,45.000000,H_vs_V,A/B,E1-E3,55,,,,,83.434723,63.739454,150.372040,168.781514,64.397843,126.193238,147.596494,39.599525,62.869848,195.784229,53,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,H,A,E2-E4,55,6.524948,12.710359,0.253823,1.237082,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,V,B,E2-E4,55,3.777876,3.975276,0.041116,0.079959,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,45.000000,H_vs_V,A/B,E2-E4,55,,,,,8.639699,71.746274,143.770614,166.032009,66.912589,135.130916,174.671707,47.606261,110.130082,199.500175,52,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,H,A,E1-E2,55,5.820981,7.523282,0.115777,0.420586,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,V,B,E1-E2,55,0.543494,0.561490,0.014812,0.032286,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,45.000000,H_vs_V,A/B,E1-E2,55,,,,,44.670955,54.915975,140.934875,164.070081,65.788435,151.258964,174.394170,54.424407,94.759017,105.691142,33,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,H,A,E2-E3,55,2.727063,10.512536,0.421834,2.243161,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,V,B,E2-E3,55,3.911251,4.280636,0.047072,0.083535,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,45.000000,H_vs_V,A/B,E2-E3,55,,,,,16.654319,39.970855,79.934714,85.034441,34.948286,63.280395,68.380122,25.933863,71.183449,100.780547,51,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,H,A,E3-E4,55,12.007088,20.993667,0.493773,2.454818,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,V,B,E3-E4,55,1.099607,1.137083,0.029208,0.067730,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,45.000000,H_vs_V,A/B,E3-E4,55,,,,,18.537719,48.595299,80.587615,171.851345,36.730499,90.808302,153.313626,22.354883,59.026281,59.026281,12,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,H,A,E4-E1,55,5.391255,9.233196,0.258936,1.055698,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,45.000000,V,B,E4-E1,55,3.722765,3.873925,0.043006,0.077682,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,45.000000,H_vs_V,A/B,E4-E1,55,,,,,-80.967810,92.191595,162.874741,166.662689,54.153910,142.319087,149.095629,31.725639,100.095400,120.930838,51,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,H,A,E1-E3,55,2.505064,5.078056,0.131352,0.514599,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,V,B,E1-E3,55,3.013413,3.150940,0.043846,0.079950,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,60.000000,H_vs_V,A/B,E1-E3,55,,,,,88.227869,92.175461,131.054684,139.262607,23.660247,46.185738,51.034738,21.565081,48.879772,79.080310,46,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,H,A,E2-E4,54,4.084808,15.146523,0.519523,2.803392,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,V,B,E2-E4,55,4.136972,4.360884,0.049986,0.127573,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,60.000000,H_vs_V,A/B,E2-E4,54,,,,,98.518082,105.675108,140.243525,165.888309,30.654240,64.710420,132.713820,10.853047,20.691588,45.720934,51,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,H,A,E1-E2,55,1.622863,2.502093,0.078744,0.338676,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,V,B,E1-E2,55,1.313792,1.385417,0.034078,0.090280,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,60.000000,H_vs_V,A/B,E1-E2,55,,,,,10.806560,25.426892,60.874487,64.536093,20.235442,50.067927,53.729533,26.762665,47.201893,88.924653,27,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,H,A,E2-E3,55,2.632953,2.647278,0.070189,0.254555,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,V,B,E2-E3,55,3.705409,3.885503,0.046128,0.083345,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,60.000000,H_vs_V,A/B,E2-E3,55,,,,,75.017279,73.956458,89.286666,90.553530,13.661849,31.888435,32.425029,7.143495,14.577702,16.824402,50,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,H,A,E3-E4,54,5.578111,14.341495,0.537225,3.039517,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,V,B,E3-E4,55,1.324384,1.375880,0.025438,0.049217,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,60.000000,H_vs_V,A/B,E3-E4,54,,,,,34.279174,44.327042,84.840382,156.214623,29.760487,50.561208,121.935449,25.242071,55.843310,60.774866,47,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,H,A,E4-E1,54,3.470000,16.839199,0.516816,2.695470,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,60.000000,V,B,E4-E1,55,3.378620,3.601376,0.045235,0.097556,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,60.000000,H_vs_V,A/B,E4-E1,54,,,,,-115.765986,116.366843,158.028176,179.769818,39.969325,108.337003,149.099271,15.694821,34.063925,40.056013,50,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,H,A,E1-E3,54,8.265924,15.734503,0.588730,3.200057,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,V,B,E1-E3,55,1.634851,1.708630,0.022889,0.045224,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,75.000000,H_vs_V,A/B,E1-E3,54,,,,,129.649201,129.053258,155.033786,156.314712,25.889804,31.973328,134.139444,11.085404,26.550088,28.522485,42,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,H,A,E2-E4,55,4.076712,31.710925,1.095279,5.747432,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,V,B,E2-E4,55,4.508511,4.622212,0.050621,0.096467,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,75.000000,H_vs_V,A/B,E2-E4,55,,,,,144.962051,134.724240,164.321191,179.678434,31.865475,71.967205,99.295092,19.567339,56.226912,87.875745,53,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,H,A,E1-E2,55,2.327585,10.394120,0.308966,1.613307,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,V,B,E1-E2,55,2.206645,2.326797,0.035945,0.077690,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,75.000000,H_vs_V,A/B,E1-E2,55,,,,,18.153025,28.972234,57.079177,57.821972,28.611240,47.730904,53.334458,27.366196,57.907851,82.338082,42,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,H,A,E2-E3,54,2.694872,15.704253,0.442787,2.286914,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,V,B,E2-E3,55,3.044946,3.113178,0.037992,0.084927,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,75.000000,H_vs_V,A/B,E2-E3,54,,,,,114.621145,121.017937,163.571250,178.778631,34.546312,64.510879,84.788945,23.694707,49.431199,80.103716,46,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,H,A,E3-E4,54,1.920980,2.953402,0.139739,0.774203,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,V,B,E3-E4,55,2.041421,2.114874,0.030280,0.063450,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,75.000000,H_vs_V,A/B,E3-E4,54,,,,,32.695054,34.479814,53.059330,57.129108,32.266716,53.372727,53.751421,30.441271,48.939970,76.558888,51,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,H,A,E4-E1,55,11.119042,32.359785,1.042330,6.019075,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,75.000000,V,B,E4-E1,55,3.127998,3.274436,0.045340,0.099309,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,75.000000,H_vs_V,A/B,E4-E1,55,,,,,-159.992700,148.645608,178.058335,178.576018,36.000042,55.950116,148.648184,15.516332,28.913450,41.011759,52,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,90.000000,H,A,E1-E3,55,2.635571,6.069425,0.242771,1.549943,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,90.000000,V,B,E1-E3,55,0.690045,1.012332,0.029315,0.106211,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,90.000000,H_vs_V,A/B,E1-E3,55,,,,,168.864646,166.957401,178.874910,179.648884,11.967973,25.661142,50.484484,15.679783,23.004308,23.004308,7,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,90.000000,H,A,E2-E4,55,5.006624,14.444835,0.375871,1.887642,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,90.000000,V,B,E2-E4,55,4.633458,4.728871,0.048700,0.076160,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,90.000000,H_vs_V,A/B,E2-E4,55,,,,,210.040122,157.723826,178.527604,179.555943,57.476178,138.702294,167.190045,20.002722,43.711269,58.740275,54,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,90.000000,H,A,E1-E2,55,7.863420,14.413544,0.294674,1.310025,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,90.000000,V,B,E1-E2,55,2.954202,3.034253,0.039303,0.087538,,,,,,,,,,,,,,,,,,
hv_pdoa_consistency,A_H__B_V,best270,135.000000,270.000000,90.000000,H_vs_V,A/B,E1-E2,55,,,,,-43.639620,53.798341,121.374633,169.226899,72.747102,147.133480,175.620343,33.835124,58.779100,61.663388,50,10.000000,False,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,90.000000,H,A,E2-E3,55,7.046739,9.543712,0.156747,0.562911,,,,,,,,,,,,,,,,,,
smoothness,A_H__B_V,best270,135.000000,270.000000,90.000000,V,B,E2-E3,55,2.814631,2.864972,0.051118,0.160092,,,,,,,,,,,,,,,,,,
