stage,index,candidate,topology,score,elapsed_s,rationale,worst_return_db,worst_return_expr,worst_coupling_db,worst_coupling_expr,isolation_db,patch_side_mm,feed_offset_u_mm,feed_offset_a_mm,feed_offset_b_mm,port_width_mm,feed_pad_radius_mm,isolation_slot_length_mm,isolation_slot_width_mm,microstrip_feed_enabled,microstrip_feed_offset_mm,microstrip_feedline_length_mm,microstrip_feedline_width_mm,microstrip_match_length_mm,microstrip_match_width_mm,microstrip_stub_length_mm,microstrip_stub_width_mm,microstrip_stub_offset_mm,neutralization_branch_enabled,neutralization_branch_length_mm,neutralization_branch_width_mm,neutralization_branch_offset_mm,local_dgs_enabled,local_dgs_length_mm,local_dgs_width_mm,local_dgs_offset_mm,hybrid_output_match_length_mm,hybrid_output_match_width_mm
sparam,11,hybrid_output_branch_dgs,hybrid,136.10966341304112,108.9,混合器输出匹配段、端口间隔离枝节和局部 DGS 组合扫描，并略增大贴片边长。,-2.7026131325325946,"dB(S(P3A:1,P3A:1))",-8.891870303356082,"dB(S(P4A:1,P4B:1))",8.891870303356082,9.35,3.35,,,0.58,0.42,10.0,0.42,1.0,0.0,1.75,0.58,0.7,0.38,0.55,0.24,0.75,1.0,1.15,0.14,0.75,1.0,4.0,0.22,0.95,0.9,0.34
sparam,12,hybrid_narrow_output_match,hybrid,72.12856505950751,93.8,收窄 90 度混合器输出匹配段，测试较高特性阻抗输出线对幅相平衡的影响。,-6.2701948398573215,"dB(S(P2B:1,P2B:1))",-10.260059891708105,"dB(S(P4A:1,P4B:1))",10.260059891708105,9.15,3.3,,,0.5,0.42,10.0,0.42,1.0,0.0,1.75,0.5,0.7,0.34,0.0,0.24,0.75,0.0,1.15,0.18,1.15,0.0,4.8,0.28,1.15,0.9,0.3
sparam,13,dualfeed_fine_stub_1p25,dualfeed,63.242523645503695,108.8,围绕最佳真实结构候选继续延长开路匹配支节到 1.25 mm，检查匹配电纳细调效果。,-6.888192305519575,"dB(S(P3B:1,P3B:1))",-9.947780635993817,"dB(S(P4B:1,P4A:1))",9.947780635993817,9.15,3.3,,,0.6,0.42,10.0,0.42,1.0,0.0,1.95,0.6,0.85,0.42,1.25,0.24,0.75,0.0,1.15,0.18,1.15,0.0,4.8,0.28,1.15,0.85,0.42
sparam,14,dualfeed_fine_stub_1p45,dualfeed,65.27789685498897,98.4,继续把开路匹配支节延长到 1.45 mm，寻找 1.10 mm 以外的回波改善区间。,-6.651553375456798,"dB(S(P4A:1,P4A:1))",-10.409156946879886,"dB(S(P2B:1,P2A:1))",10.409156946879886,9.15,3.3,,,0.6,0.42,10.0,0.42,1.0,0.0,1.95,0.6,0.85,0.42,1.45,0.24,0.75,0.0,1.15,0.18,1.15,0.0,4.8,0.28,1.15,0.85,0.42
sparam,15,dualfeed_fine_branch_len0p65,dualfeed,101.82864826706952,111.1,缩短端口间隔离枝节长度到 0.65 mm，并保留 1.10 mm 开路支节，降低枝节过耦合风险。,-4.810255572136,"dB(S(P1A:1,P1A:1))",-8.820790087475023,"dB(S(P2B:1,P2A:1))",8.820790087475023,9.15,3.3,,,0.6,0.42,10.0,0.42,1.0,0.0,1.95,0.6,0.85,0.42,1.1,0.24,0.75,1.0,0.65,0.12,0.65,0.0,4.8,0.28,1.15,0.85,0.42
sparam,16,dualfeed_fine_branch_len1p05,dualfeed,121.08872204635944,110.3,隔离枝节长度设为 1.05 mm，靠近上轮支节最佳区间测试 A/B 耦合抵消。,-4.1675293371556235,"dB(S(P1A:1,P1A:1))",-6.640949206072082,"dB(S(P1B:1,P1A:1))",6.640949206072082,9.15,3.3,,,0.6,0.42,10.0,0.42,1.0,0.0,1.95,0.6,0.85,0.42,1.1,0.24,0.75,1.0,1.05,0.12,0.75,0.0,4.8,0.28,1.15,0.85,0.42
sparam,18,dualfeed_fine_dgs_o0p75,dualfeed,53.46481990850535,102.7,不加端口间隔离枝节，仅把 DGS 位置向贴片中心侧移动到 0.75 mm，隔离地电流但减少端口扰动。,-7.353804820569383,"dB(S(P1B:1,P1B:1))",-10.48319525853919,"dB(S(P4B:1,P4A:1))",10.48319525853919,9.15,3.3,,,0.6,0.42,10.0,0.42,1.0,0.0,1.95,0.6,0.85,0.42,1.1,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.6,0.2,0.75,0.85,0.42
sparam,19,dualfeed_fine_dgs_o1p25,dualfeed,55.51812638073153,103.4,不加端口间隔离枝节，仅把 DGS 位置外移到 1.25 mm，测试较弱地槽耦合对回波的影响。,-7.2857413107645685,"dB(S(P2B:1,P2B:1))",-10.248929030682387,"dB(S(P4A:1,P4B:1))",10.248929030682387,9.15,3.3,,,0.6,0.42,10.0,0.42,1.0,0.0,1.95,0.6,0.85,0.42,1.1,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.6,0.2,1.25,0.85,0.42
sparam,20,hybrid_fine_output_w0p28,hybrid,68.68428297667458,97.5,细扫 90 度混合器输出段宽度到 0.28 mm，测试高阻输出段的匹配与幅相平衡。,-6.359602047175475,"dB(S(P4B:1,P4B:1))",-10.754560862411909,"dB(S(P1A:1,P1B:1))",10.754560862411909,9.15,3.3,,,0.5,0.42,10.0,0.42,1.0,0.0,1.75,0.5,0.7,0.34,0.0,0.24,0.75,0.0,1.15,0.18,1.15,0.0,4.8,0.28,1.15,0.9,0.28
sparam,21,hybrid_fine_output_w0p32,hybrid,69.13230797901547,97.3,细扫 90 度混合器输出段宽度到 0.32 mm，贴近上一轮窄输出候选的局部最优区间。,-6.5495949085795155,"dB(S(P2A:1,P2A:1))",-9.86358388007012,"dB(S(P4A:1,P4B:1))",9.86358388007012,9.15,3.3,,,0.52,0.42,10.0,0.42,1.0,0.0,1.75,0.52,0.72,0.36,0.0,0.24,0.75,0.0,1.15,0.18,1.15,0.0,4.8,0.28,1.15,0.9,0.32
sparam,22,hybrid_fine_output_w0p40,hybrid,69.39489069290491,98.6,细扫 90 度混合器输出段宽度到 0.40 mm，检查低阻输出段是否改善端口回波。,-6.3441155308659365,"dB(S(P4A:1,P4A:1))",-10.640403650223432,"dB(S(P1A:1,P1B:1))",10.640403650223432,9.15,3.3,,,0.58,0.42,10.0,0.42,1.0,0.0,1.8,0.58,0.75,0.4,0.0,0.24,0.75,0.0,1.15,0.18,1.15,0.0,4.8,0.28,1.15,0.95,0.4
sparam,23,hybrid_fine_output_w0p46,hybrid,73.00567722861408,99.6,继续加宽混合器输出段到 0.46 mm，判断输出匹配段宽度上限趋势。,-6.257339357183255,"dB(S(P4B:1,P4B:1))",-10.093489328395133,"dB(S(P1B:1,P1A:1))",10.093489328395133,9.15,3.3,,,0.62,0.42,10.0,0.42,1.0,0.0,1.85,0.62,0.78,0.44,0.0,0.24,0.75,0.0,1.15,0.18,1.15,0.0,4.8,0.28,1.15,0.98,0.46
sparam,24,dualfeed_link_p9p05_shift0p25_dgs0p65_stub1p05,dualfeed,89.27508179384144,76.6,贴片略缩小，微带馈线沿边缘偏移 0.25 mm，DGS offset=0.65 mm，支节 1.05 mm，用于验证低扰动馈入联动。,-5.722143229248362,"dB(S(P2B:1,P2B:1))",-8.220442311621358,"dB(S(P4B:1,P4A:1))",8.220442311621358,9.05,3.25,,,0.58,0.42,10.0,0.42,1.0,0.25,1.8,0.58,0.78,0.4,1.05,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.4,0.18,0.65,0.78,0.4
sparam,25,dualfeed_link_p9p05_shift0p50_dgs0p75_stub1p10,dualfeed,88.09184285959918,74.8,贴片略缩小，馈线偏移 0.50 mm，保持上一轮最优 DGS 位置附近，检查馈入偏移对回波的补偿。,-6.296647432054277,"dB(S(P4B:1,P4B:1))",-6.160784813677669,"dB(S(P3A:1,P3B:1))",6.160784813677669,9.05,3.25,,,0.58,0.42,10.0,0.42,1.0,0.5,1.8,0.58,0.78,0.4,1.1,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.4,0.18,0.75,0.78,0.4
sparam,26,dualfeed_link_p9p15_shift0p25_dgs0p55_stub1p10,dualfeed,67.29390722967989,76.7,保持当前贴片边长，DGS 更靠近中心侧到 0.55 mm，测试更强地电流切断是否改善隔离。,-7.220643247424681,"dB(S(P4A:1,P4A:1))",-7.571885878138838,"dB(S(P4A:1,P4B:1))",7.571885878138838,9.15,3.3,,,0.58,0.42,10.0,0.42,1.0,0.25,1.8,0.58,0.78,0.4,1.1,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.4,0.18,0.55,0.78,0.4
sparam,27,dualfeed_link_p9p15_shift0p50_dgs0p75_stub1p20,dualfeed,72.08107119179698,76.8,保持当前贴片边长，馈线偏移 0.50 mm，支节增至 1.20 mm，围绕上一轮最优 DGS 点继续细扫。,-7.4241068583947225,"dB(S(P2B:1,P2B:1))",-5.54089408263239,"dB(S(P1B:1,P1A:1))",5.54089408263239,9.15,3.3,,,0.58,0.42,10.0,0.42,1.0,0.5,1.8,0.58,0.78,0.4,1.2,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.6,0.18,0.75,0.78,0.4
sparam,28,dualfeed_link_p9p25_shift0p25_dgs0p85_stub1p10,dualfeed,43.83882387144689,76.8,贴片略放大，馈线偏移 0.25 mm，DGS 外移到 0.85 mm，观察谐振下移后的匹配恢复。,-8.777043057632772,"dB(S(P3A:1,P3A:1))",-7.054417495843911,"dB(S(P1B:1,P1A:1))",7.054417495843911,9.25,3.35,,,0.58,0.42,10.0,0.42,1.0,0.25,1.8,0.58,0.8,0.4,1.1,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.6,0.18,0.85,0.8,0.4
sparam,29,dualfeed_link_p9p25_shift0p50_dgs0p65_stub1p25,dualfeed,35.079838730639565,77.0,贴片略放大，馈线偏移 0.50 mm，支节 1.25 mm，测试较长支节与内侧 DGS 的组合。,-9.75568305950049,"dB(S(P3A:1,P3A:1))",-5.231739773388103,"dB(S(P4A:1,P4B:1))",5.231739773388103,9.25,3.35,,,0.58,0.42,10.0,0.42,1.0,0.5,1.8,0.58,0.8,0.4,1.25,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.6,0.18,0.65,0.8,0.4
sparam,30,dualfeed_link_p9p35_shift0p25_dgs0p75_stub1p15,dualfeed,50.7215417875359,76.9,贴片继续放大，馈线偏移 0.25 mm，DGS offset=0.75 mm，支节 1.15 mm，检查谐振频移趋势。,-8.486656646769884,"dB(S(P3A:1,P3A:1))",-6.524322301359502,"dB(S(P2B:1,P2A:1))",6.524322301359502,9.35,3.4,,,0.58,0.42,10.0,0.42,1.0,0.25,1.75,0.58,0.78,0.4,1.15,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.8,0.18,0.75,0.78,0.4
sparam,31,dualfeed_link_p9p35_shift0p50_dgs0p95_stub1p25,dualfeed,36.50569292692147,74.7,贴片继续放大，馈线偏移 0.50 mm，DGS 外移至 0.95 mm，验证较弱 DGS 与长支节组合。,-9.787074545806272,"dB(S(P4A:1,P4A:1))",-4.746571130463918,"dB(S(P1B:1,P1A:1))",4.746571130463918,9.35,3.4,,,0.58,0.42,10.0,0.42,1.0,0.5,1.75,0.58,0.78,0.4,1.25,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.8,0.18,0.95,0.78,0.4
sparam,32,dualfeed_link_p9p45_shift0p25_dgs0p75_stub1p05,dualfeed,76.5012293809739,78.9,贴片最大化到可用板边界附近，馈线偏移 0.25 mm，较短支节用于避免过度容性加载。,-6.898581535370825,"dB(S(P1A:1,P1A:1))",-6.590508359736146,"dB(S(P4B:1,P4A:1))",6.590508359736146,9.45,3.45,,,0.58,0.42,10.0,0.42,1.0,0.25,1.7,0.58,0.75,0.4,1.05,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.8,0.18,0.75,0.75,0.4
sparam,33,dualfeed_link_p9p45_shift0p50_dgs0p85_stub1p20,dualfeed,55.82374764691749,76.8,贴片最大化到可用板边界附近，馈线偏移 0.50 mm，并用 DGS 0.85 mm 与 1.20 mm 支节做联合补偿。,-8.588014708748181,"dB(S(P3A:1,P3A:1))",-4.833202782403085,"dB(S(P4B:1,P4A:1))",4.833202782403085,9.45,3.45,,,0.58,0.42,10.0,0.42,1.0,0.5,1.7,0.58,0.75,0.4,1.2,0.24,0.75,0.0,1.15,0.18,1.15,1.0,3.8,0.18,0.85,0.75,0.4
