candidate,candidate_index,farfield_csv,s11_worst_db,s11_pass,best_270deg_window_start_phi_deg,best_270deg_window_stop_phi_deg,corrected_best_270deg_gain_total_min_dbi,corrected_best_270deg_realized_gain_total_min_dbi,corrected_best_270deg_gain_total_min_theta_deg,corrected_best_270deg_gain_total_min_phi_deg,gain_pass,realized_gain_pass,overall_pass,axis_note
h5p0_l8p8_w8p0_feed3p00,8,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p00_native_farfield_default.csv,-0.199753502340059,False,265,175,-10.0251535475277,-23.4975465729312,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_c0p085_l0p70_complex_serial,,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_c0p085_l0p70_complex_serial_native_farfield_default.csv,nan,False,210,120,-5.67546873143108,-14.4648805930128,45,270,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_c0p085_l0p70,12,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_c0p085_l0p70_native_farfield_default.csv,-0.615540601824017,False,210,120,-5.67546873143108,-14.4648805930128,45,270,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_c0p093_l0p64_complex,,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_c0p093_l0p64_complex_native_farfield_default.csv,nan,False,210,120,-5.67546873143109,-14.4648805930128,45,270,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_c0p093_l0p64,11,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_c0p093_l0p64_native_farfield_default.csv,-0.61554060182405,False,210,120,-5.6754687314313,-14.4648805930128,45,270,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_c0p105_l0p58,13,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_c0p105_l0p58_native_farfield_default.csv,-0.615540601824042,False,210,120,-5.67546873143125,-14.4648805930128,45,270,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_c0p45_l0p24,14,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_c0p45_l0p24_native_farfield_default.csv,-0.615540601824061,False,210,120,-5.67546873143137,-14.4648805930128,45,270,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_c0p65_l0p20,15,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_c0p65_l0p20_native_farfield_default.csv,-0.615540601824027,False,210,120,-5.67546873143115,-14.4648805930128,45,270,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_c0p90_l0p16,16,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_c0p90_l0p16_native_farfield_default.csv,-0.615540601824057,False,210,120,-5.67546873143135,-14.4648805930128,45,270,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80_complex,,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_complex_native_farfield_default.csv,nan,False,270,180,-10.4340386717881,-21.8105300381635,45,180,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed3p80,9,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed3p80_native_farfield_default.csv,-0.328438147431881,False,270,180,-10.4340386717881,-21.8105300381635,45,180,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed5p50,17,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed5p50_native_farfield_default.csv,-0.92734615226276,False,265,175,-8.98838836753052,-16.149238295342,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed7p00,18,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed7p00_native_farfield_default.csv,-2.02475833964383,False,265,175,-8.73044582572777,-13.0176747077484,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed8p00,19,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed8p00_native_farfield_default.csv,-2.69022867883639,False,260,170,-7.41570355865542,-10.7715540130481,45,260,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_feed8p40,22,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_feed8p40_native_farfield_default.csv,-3.56828387188882,False,260,170,-7.84087438486698,-10.3567870327125,45,260,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_sw4p0_fence6p0_feed7p80,26,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_sw4p0_fence6p0_feed7p80_native_farfield_default.csv,-3.77948991540166,False,265,175,-9.18277026344563,-11.5398337068166,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p00,27,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p00_native_farfield_default.csv,-4.17532418504376,False,265,175,-9.69126916873114,-11.7838848685971,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p20,28,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p20_native_farfield_default.csv,-4.38046465463357,False,265,175,-9.08375114134935,-11.0540646086753,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p40_complex,,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p40_complex_native_farfield_default.csv,nan,False,265,175,-9.30183036923552,-11.0553539983673,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p40_lip1p0,34,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p40_lip1p0_native_farfield_default.csv,-5.08781172152709,False,265,175,-9.29904793787347,-10.9099153217939,90,175,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p40,23,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p40_native_farfield_default.csv,-4.78602829142677,False,265,175,-9.30183036923552,-11.0553539983673,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p48,29,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_sw4p0_fence6p0_feed8p48_native_farfield_default.csv,-4.77449749943017,False,265,175,-8.88086987680195,-10.6401409225345,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w8p0_sw5p5_fence7p0_feed8p20,33,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w8p0_sw5p5_fence7p0_feed8p20_native_farfield_default.csv,-3.43996038473051,False,265,175,-10.2207812045202,-12.8401276400175,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l8p8_w9p6_feed1p10_wide,5,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l8p8_w9p6_feed1p10_wide_native_farfield_default.csv,-0.0781035886547402,False,270,180,-7.93791596100657,-25.4280424525588,50,180,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l9p2_w8p4_sw4p0_fence6p0_feed8p80,30,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l9p2_w8p4_sw4p0_fence6p0_feed8p80_native_farfield_default.csv,-4.79970267322405,False,260,170,-8.8391038984444,-10.5858412075602,45,260,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l9p6_w8p2_feed1p45,2,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l9p6_w8p2_feed1p45_native_farfield_default.csv,-0.0560001466455409,False,265,175,-8.37759279400712,-27.3015142503195,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p0_l9p6_w8p2_feed3p20,10,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p0_l9p6_w8p2_feed3p20_native_farfield_default.csv,-0.17291583746732,False,265,175,-9.85827400147703,-23.9439404504361,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p8_l8p6_w8p0_feed1p20,3,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p8_l8p6_w8p0_feed1p20_native_farfield_default.csv,-0.0535254564900262,False,275,185,-6.99951553566103,-26.1184900916022,90,120,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h5p8_l8p6_w8p0_feed7p80,21,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h5p8_l8p6_w8p0_feed7p80_native_farfield_default.csv,-2.51749919740247,False,260,170,-7.10060031473544,-10.6668634468091,45,260,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
h6p5_l8p4_w8p0_feed7p90,25,D:\WorkSpace\HFSS Sim\UWB-Antenna-Simulation-By-HFSS\reports_d44_thick_pifa_single_element\h6p5_l8p4_w8p0_feed7p90_native_farfield_default.csv,-2.38678154609958,False,265,175,-5.86017761354161,-9.59876670819459,45,265,False,False,False,"auto-corrected: native export labels column 0 as Phi and column 2 as Theta, but ranges show column 0 is 0..90 theta and column 2 is 0..360 phi"
