source_case,freq_ghz,gain_min_dbi,gain_max_dbi,gain_ripple_db,axial_ratio_min_db,axial_ratio_max_db,cp_coverage_percent,gain_min_theta_deg,gain_min_phi_deg,ar_max_theta_deg,ar_max_phi_deg,meets_gain,meets_cp
coverage_envelope_best_port,7.738000,-7.988856,6.214102,14.202957,2.013477,889.199518,23.699,180.000000,55.000000,170.000000,65.000000,False,False
cp_qualified_envelope,7.738000,-19.548940,5.886617,25.435557,1.037605,9.929429,48.630,170.000000,75.000000,180.000000,85.000000,False,False
P1A_only,7.985500,-13.410135,6.141669,19.551804,1.049310,1169.900786,21.370,130.000000,50.000000,295.000000,85.000000,False,False
P1B_only,7.985500,-11.280534,5.364732,16.645265,1.307909,893.596128,24.384,210.000000,45.000000,320.000000,45.000000,False,False
P2A_only,7.985500,-20.242262,6.437235,26.679496,1.761128,5360.915622,2.603,195.000000,90.000000,155.000000,60.000000,False,False
P2B_only,7.985500,-12.123453,5.408775,17.532229,1.023312,1405.777622,24.110,235.000000,65.000000,130.000000,45.000000,False,False
P3A_only,7.985500,-12.609461,6.217080,18.826541,1.062903,3795.074032,19.178,230.000000,50.000000,160.000000,55.000000,False,False
P3B_only,7.985500,-11.380546,5.342109,16.722655,1.223686,13537.082804,24.521,150.000000,45.000000,35.000000,45.000000,False,False
P4A_only,7.985500,-21.452768,6.382357,27.835125,1.887559,2263.925259,2.740,165.000000,90.000000,205.000000,70.000000,False,False
P4B_only,7.985500,-11.815078,5.454350,17.269428,1.008603,2147.910700,22.055,125.000000,65.000000,240.000000,50.000000,False,False
sequential_quadrature_all_ports,7.985500,-12.719189,6.610829,19.330018,1.013967,2556.213641,48.082,330.000000,45.000000,100.000000,50.000000,False,False
E1_dualfeed_quadrature,7.985500,-12.815395,5.833893,18.649288,1.034360,2145.746435,79.178,135.000000,45.000000,250.000000,45.000000,False,False
E2_dualfeed_quadrature,7.985500,-10.219214,6.099301,16.318516,1.024271,5781.428644,62.466,130.000000,80.000000,110.000000,65.000000,False,False
E3_dualfeed_quadrature,7.985500,-13.083757,5.846961,18.930718,1.007362,360.128956,79.452,225.000000,45.000000,130.000000,70.000000,False,False
E4_dualfeed_quadrature,7.985500,-10.396339,6.082789,16.479128,1.079857,1345.514178,64.932,170.000000,90.000000,170.000000,65.000000,False,False
dualfeed_array_quadrature,7.985500,-17.813339,10.553320,28.366659,1.013675,8733.552863,68.767,50.000000,50.000000,105.000000,90.000000,False,False
coverage_envelope_best_port,7.985500,-5.980883,6.437235,12.418118,2.239928,1482.322065,18.493,180.000000,55.000000,200.000000,80.000000,False,False
cp_qualified_envelope,7.985500,-16.062612,6.116473,22.179085,1.008603,10.154359,57.671,190.000000,90.000000,180.000000,50.000000,False,False
P1A_only,8.233000,-11.785971,6.400023,18.185994,1.009407,730.081694,26.849,255.000000,70.000000,295.000000,75.000000,False,False
P1B_only,8.233000,-10.743078,5.958312,16.701390,1.515709,360.161199,29.041,210.000000,90.000000,305.000000,50.000000,False,False
P2A_only,8.233000,-20.160823,6.653006,26.813829,2.080131,5232.793354,3.425,195.000000,90.000000,205.000000,65.000000,False,False
P2B_only,8.233000,-11.311840,6.088793,17.400633,1.030469,147.688804,38.493,230.000000,70.000000,285.000000,65.000000,False,False
P3A_only,8.233000,-11.027709,6.467973,17.495682,1.051763,853.899668,23.836,105.000000,70.000000,60.000000,80.000000,False,False
P3B_only,8.233000,-10.882072,5.936421,16.818493,1.403751,801.466569,28.082,145.000000,45.000000,170.000000,45.000000,False,False
P4A_only,8.233000,-24.553446,6.601512,31.154959,2.086758,861.414729,2.603,165.000000,90.000000,75.000000,65.000000,False,False
P4B_only,8.233000,-10.898987,6.140374,17.039362,1.043847,809.056582,33.562,135.000000,70.000000,110.000000,60.000000,False,False
sequential_quadrature_all_ports,8.233000,-11.540199,6.699003,18.239202,1.016057,2249.993550,47.808,140.000000,45.000000,40.000000,50.000000,False,False
E1_dualfeed_quadrature,8.233000,-13.831064,6.360602,20.191666,1.051004,1328.751001,75.479,135.000000,90.000000,115.000000,55.000000,False,False
E2_dualfeed_quadrature,8.233000,-10.826229,6.680847,17.507077,1.072039,330.577611,63.288,130.000000,65.000000,110.000000,90.000000,False,False
E3_dualfeed_quadrature,8.233000,-14.531648,6.378886,20.910534,1.056722,475.036960,76.027,230.000000,55.000000,135.000000,65.000000,False,False
E4_dualfeed_quadrature,8.233000,-10.320341,6.685693,17.006034,1.029738,996.697927,64.658,230.000000,60.000000,250.000000,90.000000,False,False
dualfeed_array_quadrature,8.233000,-21.392859,10.970497,32.363356,1.024841,1098.184127,59.178,50.000000,50.000000,95.000000,85.000000,False,False
coverage_envelope_best_port,8.233000,-5.386589,6.653006,12.039595,1.421649,331.340216,15.616,150.000000,55.000000,225.000000,90.000000,False,False
cp_qualified_envelope,8.233000,-8.853255,6.432555,15.285811,1.030469,6.907128,72.740,130.000000,65.000000,180.000000,80.000000,False,False
