candidate_index,candidate,rationale,elapsed_s,strict_fov_gain_total_min_dbi,strict_fov_gain_total_worst_case,strict_fov_gain_total_worst_source,strict_fov_gain_total_worst_freq_ghz,strict_fov_gain_total_worst_theta_deg,strict_fov_gain_total_worst_phi_deg,strict_fov_realized_gain_total_min_dbi,strict_fov_realized_gain_total_worst_case,strict_fov_realized_gain_total_worst_source,strict_fov_realized_gain_total_worst_freq_ghz,strict_fov_realized_gain_total_worst_theta_deg,strict_fov_realized_gain_total_worst_phi_deg,coverage_fov_gain_total_min_dbi,coverage_fov_gain_total_worst_case,coverage_fov_gain_total_worst_source,coverage_fov_gain_total_worst_freq_ghz,coverage_fov_gain_total_worst_theta_deg,coverage_fov_gain_total_worst_phi_deg,coverage_fov_realized_gain_total_min_dbi,coverage_fov_realized_gain_total_worst_case,coverage_fov_realized_gain_total_worst_source,coverage_fov_realized_gain_total_worst_freq_ghz,coverage_fov_realized_gain_total_worst_theta_deg,coverage_fov_realized_gain_total_worst_phi_deg,strict_gain_target_pass,strict_realized_gain_target_pass,coverage_gain_target_pass,coverage_realized_gain_target_pass,worst_active_s11_db,worst_active_s11_case,all_workstate_s11_pass,projects
21,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p0_offu0p00_v0p80,Shift the slit toward the v-edge and lengthen it slightly to target the remaining low-elevation null.,233.593398,-28.180964,A_ON_absorptive_50ohm_c0p08pf,P4A,7.985500,90.000000,55.000000,-28.183816,A_ON_absorptive_50ohm_c0p08pf,P4A,7.985500,90.000000,55.000000,-20.371095,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,85.000000,35.000000,-20.459662,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,85.000000,35.000000,False,False,False,False,-11.784997,B_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_21_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_21_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
22,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p5_offu0p60_v0p00,Use a longer u-offset slit to see whether a stronger asymmetry fills the phi=45 deg dip.,246.159825,-32.389165,A_ON_absorptive_50ohm_c0p08pf,P4A,7.738000,90.000000,25.000000,-32.432935,A_ON_absorptive_50ohm_c0p08pf,P4A,7.738000,90.000000,25.000000,-19.938207,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,45.000000,-19.948204,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,45.000000,False,False,False,False,-10.040927,A_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_22_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_22_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
23,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p5_offu0p00_v0p60,Use a longer v-offset slit to see whether a stronger asymmetry fills the phi=45 deg dip.,230.349350,-32.502589,B_ON_absorptive_50ohm_c0p08pf,P3B,7.738000,60.000000,45.000000,-32.512106,B_ON_absorptive_50ohm_c0p08pf,P3B,7.738000,60.000000,45.000000,-20.263372,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,55.000000,-20.284047,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,55.000000,False,False,False,False,-11.841014,A_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_23_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_23_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
24,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit3p6_off0p35,"Use a shorter, less-offset diagonal slit to bracket the current 4.0 mm best point.",229.396320,-30.302506,B_ON_absorptive_50ohm_c0p08pf,P4B,7.985500,90.000000,45.000000,-30.569784,B_ON_absorptive_50ohm_c0p08pf,P4B,7.985500,90.000000,45.000000,-20.343060,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,85.000000,45.000000,-20.464299,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,85.000000,45.000000,False,False,False,False,-10.592886,A_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_24_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_24_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
25,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit3p8_off0p45,Trim the winning diagonal slit slightly while keeping the same offset to test a local optimum.,224.137105,-28.429480,A_ON_absorptive_50ohm_c0p08pf,P3A,7.985500,90.000000,35.000000,-28.600912,A_ON_absorptive_50ohm_c0p08pf,P3A,7.985500,90.000000,35.000000,-19.800717,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,90.000000,0.000000,-19.828476,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,90.000000,0.000000,False,False,False,False,-12.809384,A_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_25_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_25_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
26,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit4p0_w0p16_off0p45,Widen the current best diagonal slit to see whether a stronger but still symmetric perturbation helps.,236.933151,-28.112855,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,60.000000,60.000000,-28.118990,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,60.000000,60.000000,-19.689746,B_ON_absorptive_50ohm_c0p08pf,P2B,8.233000,85.000000,35.000000,-19.732119,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,85.000000,0.000000,False,False,False,False,-13.066004,A_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_26_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_26_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
27,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit4p0_ang30_off0p45,Rotate the current best slit to 30 degrees to check angular sensitivity around the horizon dip.,216.172285,-29.377848,A_ON_absorptive_50ohm_c0p08pf,P4A,7.738000,55.000000,45.000000,-29.445268,A_ON_absorptive_50ohm_c0p08pf,P4A,7.738000,55.000000,45.000000,-20.655397,B_ON_absorptive_50ohm_c0p08pf,P2B,8.233000,85.000000,40.000000,-20.662989,B_ON_absorptive_50ohm_c0p08pf,P2B,8.233000,80.000000,40.000000,False,False,False,False,-11.002979,B_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_27_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_27_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
28,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2,Enable the underfeed neutralizer to test whether it lifts the theta=90 deg horizon dip.,235.250210,-29.595500,A_ON_absorptive_50ohm_c0p08pf,P3A,7.985500,90.000000,40.000000,-29.735483,A_ON_absorptive_50ohm_c0p08pf,P3A,7.985500,90.000000,40.000000,-19.689399,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,90.000000,45.000000,-19.702656,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,90.000000,45.000000,False,False,False,False,-7.060484,B_ON_absorptive_50ohm_c0p08pf,False,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_28_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_28_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
29,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2_z0p10,Raise the neutralizer above the feed a little to see if the horizon field becomes stronger.,233.636211,-34.963604,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,90.000000,40.000000,-34.977451,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,90.000000,40.000000,-20.351873,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,85.000000,35.000000,-20.434770,B_ON_absorptive_50ohm_c0p08pf,P1B,8.233000,85.000000,35.000000,False,False,False,False,-9.580704,A_ON_absorptive_50ohm_c0p08pf,False,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_29_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_29_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
30,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p6,Lengthen the neutralizer to see whether a stronger parasitic line fills the remaining low-elevation null.,228.229107,-30.442931,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,90.000000,50.000000,-30.509355,B_ON_absorptive_50ohm_c0p08pf,P4B,8.233000,90.000000,50.000000,-19.982545,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,25.000000,-20.001411,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,25.000000,False,False,False,False,-9.522030,B_ON_absorptive_50ohm_c0p08pf,False,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_30_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_30_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
31,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2_abc,Combine the neutralizer with the A/B cancellation network to check whether the edge dip can be lifted without killing match.,250.693031,-33.248287,A_ON_absorptive_50ohm_c0p08pf,P4A,7.738000,80.000000,20.000000,-33.688948,A_ON_absorptive_50ohm_c0p08pf,P4A,7.738000,80.000000,20.000000,-19.532866,A_ON_absorptive_50ohm_c0p08pf,P2A,8.233000,90.000000,5.000000,-19.545738,A_ON_absorptive_50ohm_c0p08pf,P1A,8.233000,90.000000,5.000000,False,False,False,False,-10.163393,A_ON_absorptive_50ohm_c0p08pf,True,"{'A_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_31_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_A_ON_absorptive_50ohm_c0p08pf.aedt', 'B_ON_absorptive_50ohm_c0p08pf': 'D:\\WorkSpace\\HFSS Sim\\UWB-Antenna-Simulation-By-HFSS\\reports_d44_dualpol_rf_switch_fov_gain_opt\\UWB_CH9_D44_DUALPOL_RF_SWITCH_FOV_GAIN_31_p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_B_ON_absorptive_50ohm_c0p08pf.aedt'}"
