coverage_sample_count,coverage_gain_total_min_dbi,coverage_gain_total_min_source,coverage_gain_total_min_freq_ghz,coverage_gain_total_min_theta_deg,coverage_gain_total_min_phi_deg,coverage_realized_gain_total_min_dbi,coverage_realized_gain_total_min_source,coverage_realized_gain_total_min_freq_ghz,coverage_realized_gain_total_min_theta_deg,coverage_realized_gain_total_min_phi_deg,candidate_index,candidate,case,active_pol
570,-20.354691,P2A,8.233000,85.000000,40.000000,-20.400343,P2A,8.233000,85.000000,40.000000,19,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_weakline2p4_gap0p12,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.850818,P1B,8.233000,90.000000,50.000000,-19.907571,P1B,8.233000,90.000000,50.000000,19,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_weakline2p4_gap0p12,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.884774,P2A,8.233000,85.000000,55.000000,-19.902173,P2A,8.233000,85.000000,55.000000,20,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p0_offu0p80_v0p00,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.331869,P2B,8.233000,85.000000,55.000000,-20.352307,P2B,8.233000,85.000000,55.000000,20,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p0_offu0p80_v0p00,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.237093,P2A,8.233000,85.000000,50.000000,-20.253950,P2A,8.233000,85.000000,50.000000,21,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p0_offu0p00_v0p80,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.371095,P1B,8.233000,85.000000,35.000000,-20.459662,P1B,8.233000,85.000000,35.000000,21,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p0_offu0p00_v0p80,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.938207,P1A,8.233000,90.000000,45.000000,-19.948204,P1A,8.233000,90.000000,45.000000,22,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p5_offu0p60_v0p00,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.627110,P2B,8.233000,90.000000,90.000000,-19.628667,P2B,8.233000,90.000000,90.000000,22,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p5_offu0p60_v0p00,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.263372,P1A,8.233000,90.000000,55.000000,-20.284047,P1A,8.233000,90.000000,55.000000,23,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p5_offu0p00_v0p60,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.429935,P2B,8.233000,90.000000,40.000000,-19.435310,P2B,8.233000,90.000000,40.000000,23,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit5p5_offu0p00_v0p60,B_ON_absorptive_50ohm_c0p08pf,B
570,-18.565738,P2A,8.233000,90.000000,90.000000,-18.882642,P3A,8.233000,90.000000,40.000000,24,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit3p6_off0p35,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.343060,P1B,8.233000,85.000000,45.000000,-20.464299,P1B,8.233000,85.000000,45.000000,24,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit3p6_off0p35,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.533655,P1A,8.233000,90.000000,50.000000,-19.541349,P1A,8.233000,90.000000,50.000000,25,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit3p8_off0p45,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.800717,P1B,8.233000,90.000000,0.000000,-19.828476,P1B,8.233000,90.000000,0.000000,25,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit3p8_off0p45,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.172998,P4A,8.233000,90.000000,90.000000,-19.298034,P2A,8.233000,90.000000,90.000000,26,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit4p0_w0p16_off0p45,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.689746,P2B,8.233000,85.000000,35.000000,-19.732119,P1B,8.233000,85.000000,0.000000,26,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit4p0_w0p16_off0p45,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.515845,P2A,8.233000,90.000000,50.000000,-20.600485,P2A,8.233000,90.000000,50.000000,27,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit4p0_ang30_off0p45,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.655397,P2B,8.233000,85.000000,40.000000,-20.662989,P2B,8.233000,80.000000,40.000000,27,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_slit4p0_ang30_off0p45,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.133300,P2A,8.233000,90.000000,90.000000,-19.154899,P2A,8.233000,90.000000,90.000000,28,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.689399,P1B,8.233000,90.000000,45.000000,-19.702656,P1B,8.233000,90.000000,45.000000,28,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.285116,P2A,8.233000,85.000000,55.000000,-19.301885,P1A,8.233000,85.000000,55.000000,29,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2_z0p10,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.351873,P1B,8.233000,85.000000,35.000000,-20.434770,P1B,8.233000,85.000000,35.000000,29,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2_z0p10,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.982545,P1A,8.233000,90.000000,25.000000,-20.001411,P1A,8.233000,90.000000,25.000000,30,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p6,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.325461,P2B,8.233000,90.000000,35.000000,-19.345491,P2B,8.233000,90.000000,35.000000,30,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p6,B_ON_absorptive_50ohm_c0p08pf,B
570,-19.532866,P2A,8.233000,90.000000,5.000000,-19.545738,P1A,8.233000,90.000000,5.000000,31,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2_abc,A_ON_absorptive_50ohm_c0p08pf,A
570,-19.195975,P2B,8.233000,90.000000,40.000000,-19.207888,P2B,8.233000,90.000000,40.000000,31,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_neutralizer2p2_abc,B_ON_absorptive_50ohm_c0p08pf,B
570,-24.009944,P4A,8.233000,75.000000,50.000000,-26.444556,P1A,8.233000,75.000000,45.000000,32,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_horizonloop5p8_clean,A_ON_absorptive_50ohm_c0p08pf,A
570,-24.400641,P3B,8.233000,75.000000,45.000000,-26.955891,P2B,8.233000,75.000000,50.000000,32,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_horizonloop5p8_clean,B_ON_absorptive_50ohm_c0p08pf,B
570,-23.867354,P3A,8.233000,75.000000,10.000000,-26.074354,P1A,8.233000,75.000000,10.000000,33,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_horizonloop6p2_clean,A_ON_absorptive_50ohm_c0p08pf,A
570,-24.652781,P2B,8.233000,80.000000,35.000000,-26.975904,P2B,8.233000,80.000000,45.000000,33,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_horizonloop6p2_clean,B_ON_absorptive_50ohm_c0p08pf,B
570,-24.725483,P1A,8.233000,70.000000,5.000000,-27.297619,P1A,8.233000,70.000000,5.000000,34,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_horizonloop6p6_clean,A_ON_absorptive_50ohm_c0p08pf,A
570,-25.439612,P4B,8.233000,70.000000,85.000000,-27.637996,P1B,8.233000,65.000000,90.000000,34,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_horizonloop6p6_clean,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.197500,P1A,8.233000,85.000000,90.000000,-20.206252,P1A,8.233000,85.000000,90.000000,35,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_edgearm2p4_w0p30,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.288235,P2B,8.233000,90.000000,70.000000,-20.289274,P2B,8.233000,90.000000,70.000000,35,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_edgearm2p4_w0p30,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.723602,P2A,8.233000,85.000000,60.000000,-20.729037,P2A,8.233000,85.000000,60.000000,36,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_edgearm3p2_w0p30,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.642024,P2B,8.233000,85.000000,0.000000,-20.663520,P2B,8.233000,85.000000,0.000000,36,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_edgearm3p2_w0p30,B_ON_absorptive_50ohm_c0p08pf,B
570,-20.350929,P2A,8.233000,90.000000,90.000000,-20.352795,P2A,8.233000,90.000000,90.000000,38,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_edgewall3p0_w0p45,A_ON_absorptive_50ohm_c0p08pf,A
570,-20.768140,P1B,8.233000,90.000000,0.000000,-20.768749,P1B,8.233000,90.000000,0.000000,38,p9p75_l5p6_w0p70_fw0p80_stub1p90_w1p00_off1p55_dstub0p70_step1p0_iso11p5_w0p55_i3p6_slit4p0_off0p45_edgewall3p0_w0p45,B_ON_absorptive_50ohm_c0p08pf,B
