Freq_GHz,"dB(S(P1:1,P1:1))","dB(S(P3:1,P3:1))","dB(S(P2:1,P2:1))","dB(S(P4:1,P4:1))","dB(S(P1:1,P3:1))","dB(S(P1:1,P2:1))","dB(S(P1:1,P4:1))","dB(S(P3:1,P1:1))","dB(S(P3:1,P2:1))","dB(S(P3:1,P4:1))","dB(S(P2:1,P1:1))","dB(S(P2:1,P3:1))","dB(S(P2:1,P4:1))","dB(S(P4:1,P1:1))","dB(S(P4:1,P3:1))","dB(S(P4:1,P2:1))"
7.700000,-10.422695,-10.641521,-10.404810,-10.464770,-26.253295,-21.516486,-21.356251,-26.253295,-21.318279,-21.329417,-21.516486,-21.318279,-26.306991,-21.356251,-21.329417,-26.306991
7.720000,-11.033334,-11.290432,-11.025435,-11.078128,-26.015610,-21.307789,-21.146727,-26.015610,-21.110264,-21.121998,-21.307789,-21.110264,-26.068402,-21.146727,-21.121998,-26.068402
7.740000,-11.669186,-11.972316,-11.675083,-11.715993,-25.791829,-21.114727,-20.952823,-25.791829,-20.917854,-20.930304,-21.114727,-20.917854,-25.843770,-20.952823,-20.930304,-25.843770
7.760000,-12.325366,-12.683634,-12.349949,-12.372979,-25.581721,-20.937002,-20.774234,-25.581721,-20.740753,-20.754033,-20.937002,-20.740753,-25.632866,-20.774234,-20.754033,-25.632866
7.780000,-12.993847,-13.417526,-13.043258,-13.040348,-25.385021,-20.774201,-20.610538,-25.385021,-20.578550,-20.592766,-20.774201,-20.578550,-25.435430,-20.610538,-20.592766,-25.435430
7.800000,-13.662280,-14.162155,-13.743965,-13.704813,-25.201436,-20.625807,-20.461209,-25.201436,-20.430729,-20.445981,-20.625807,-20.430729,-25.251166,-20.461209,-20.445981,-25.251166
7.820000,-14.312786,-14.898661,-14.435235,-14.347360,-25.030635,-20.491206,-20.325625,-25.030635,-20.296678,-20.313057,-20.491206,-20.296678,-25.079748,-20.325625,-20.313057,-25.079748
7.840000,-14.921174,-15.599190,-15.093089,-14.942634,-24.872257,-20.369701,-20.203088,-24.872257,-20.175706,-20.193296,-20.369701,-20.175706,-24.920811,-20.203088,-20.193296,-24.920811
7.860000,-15.457483,-16.226221,-15.686115,-15.459852,-24.725905,-20.260528,-20.092828,-24.725905,-20.067049,-20.085928,-20.260528,-20.067049,-24.773959,-20.092828,-20.085928,-24.773959
7.880000,-15.888946,-16.735331,-16.177663,-15.866325,-24.591149,-20.162867,-19.994022,-24.591149,-19.969893,-19.990127,-20.162867,-19.969893,-24.638760,-19.994022,-19.990127,-24.638760
7.900000,-16.185947,-17.083351,-16.531770,-16.133888,-24.467524,-20.075854,-19.905809,-24.467524,-19.883377,-19.905030,-20.075854,-19.883377,-24.514747,-19.905809,-19.905030,-24.514747
7.920000,-16.329664,-17.240935,-16.722240,-16.246517,-24.354540,-19.998601,-19.827298,-24.354540,-19.806618,-19.829741,-19.998601,-19.806618,-24.401426,-19.827298,-19.829741,-24.401426
7.940000,-16.317967,-17.203515,-16.741137,-16.205456,-24.251676,-19.930202,-19.757587,-24.251676,-19.738712,-19.763353,-19.930202,-19.738712,-24.298273,-19.757587,-19.763353,-24.298273
7.960000,-16.166059,-16.993082,-16.601609,-16.028705,-24.158391,-19.869748,-19.695770,-24.158391,-19.678756,-19.704953,-19.869748,-19.678756,-24.204745,-19.695770,-19.704953,-24.204745
7.980000,-15.901460,-16.649439,-16.333064,-15.745218,-24.074125,-19.816338,-19.640951,-24.074125,-19.625852,-19.653638,-19.816338,-19.625852,-24.120277,-19.640951,-19.653638,-24.120277
8.000000,-15.556389,-16.217284,-15.971996,-15.387273,-23.998307,-19.769089,-19.592251,-23.998307,-19.579122,-19.608521,-19.769089,-19.579122,-24.044295,-19.592251,-19.608521,-24.044295
8.020000,-15.161293,-15.736357,-15.553558,-14.984476,-23.930359,-19.727144,-19.548819,-23.930359,-19.537711,-19.568742,-19.727144,-19.537711,-23.976216,-19.548819,-19.568742,-23.976216
8.040000,-14.741265,-15.237148,-15.106746,-14.560736,-23.869703,-19.689678,-19.509836,-23.869703,-19.500798,-19.533473,-19.689678,-19.500798,-23.915459,-19.509836,-19.533473,-23.915459
8.060000,-14.315097,-14.740760,-14.653064,-14.133696,-23.815762,-19.655905,-19.474525,-23.815762,-19.467601,-19.501927,-19.655905,-19.467601,-23.861445,-19.474525,-19.501927,-23.861445
8.080000,-13.895880,-14.260665,-14.207246,-13.715496,-23.767973,-19.625084,-19.442148,-23.767973,-19.437380,-19.473357,-19.625084,-19.437380,-23.813605,-19.442148,-19.473357,-23.813605
8.100000,-13.492177,-13.804808,-13.778719,-13.313987,-23.725784,-19.596519,-19.412019,-23.725784,-19.409442,-19.447065,-19.596519,-19.409442,-23.771385,-19.412019,-19.447065,-23.771385
8.120000,-13.109238,-13.377400,-13.373091,-12.933906,-23.688663,-19.569563,-19.383497,-23.688663,-19.383143,-19.422402,-19.569563,-19.383143,-23.734248,-19.383497,-19.422402,-23.734248
8.140000,-12.749998,-12.980256,-12.993366,-12.577844,-23.656100,-19.543619,-19.355992,-23.656100,-19.357887,-19.398767,-19.543619,-19.357887,-23.701682,-19.355992,-19.398767,-23.701682
8.160000,-12.415846,-12.613707,-12.640839,-12.246955,-23.627609,-19.518142,-19.328966,-23.627609,-19.333130,-19.375612,-19.518142,-19.333130,-23.673199,-19.328966,-19.375612,-23.673199
8.180000,-12.107166,-12.277207,-12.315729,-11.941474,-23.602734,-19.492637,-19.301929,-23.602734,-19.308379,-19.352439,-19.492637,-19.308379,-23.648339,-19.301929,-19.352439,-23.648339
8.200000,-11.823712,-11.969719,-12.017596,-11.661058,-23.581049,-19.466660,-19.274443,-23.581049,-19.283190,-19.328800,-19.466660,-19.283190,-23.626672,-19.274443,-19.328800,-23.626672
8.220000,-11.564866,-11.689965,-11.745625,-11.405029,-23.562157,-19.439815,-19.246117,-23.562157,-19.257167,-19.304297,-19.439815,-19.257167,-23.607801,-19.246117,-19.304297,-23.607801
8.240000,-11.329801,-11.436573,-11.498804,-11.172524,-23.545698,-19.411754,-19.216608,-23.545698,-19.229962,-19.278579,-19.411754,-19.229962,-23.591361,-19.216608,-19.278579,-23.591361
8.260000,-11.117596,-11.208172,-11.276045,-10.962602,-23.531342,-19.382175,-19.185619,-23.531342,-19.201274,-19.251341,-19.382175,-19.201274,-23.577022,-19.185619,-19.251341,-23.577022
8.280000,-10.927305,-11.003446,-11.076253,-10.774306,-23.518797,-19.350822,-19.152896,-23.518797,-19.170844,-19.222322,-19.350822,-19.170844,-23.564489,-19.152896,-19.222322,-23.564489
8.300000,-10.758005,-10.821162,-10.898371,-10.606706,-23.507802,-19.317480,-19.118227,-23.507802,-19.138456,-19.191305,-19.317480,-19.138456,-23.553498,-19.118227,-19.191305,-23.553498
8.320000,-10.608819,-10.660189,-10.741408,-10.458923,-23.498134,-19.281975,-19.081440,-23.498134,-19.103935,-19.158114,-19.281975,-19.103935,-23.543826,-19.081440,-19.158114,-23.543826
8.340000,-10.478936,-10.519500,-10.604450,-10.330145,-23.489603,-19.244172,-19.042403,-23.489603,-19.067144,-19.122609,-19.244172,-19.067144,-23.535280,-19.042403,-19.122609,-23.535280
8.360000,-10.367618,-10.398176,-10.486671,-10.219632,-23.482054,-19.203973,-19.001019,-23.482054,-19.027984,-19.084691,-19.203973,-19.027984,-23.527703,-19.001019,-19.084691,-23.527703
8.380000,-10.274202,-10.295398,-10.387332,-10.126722,-23.475366,-19.161317,-18.957227,-23.475366,-18.986389,-19.044294,-19.161317,-18.986389,-23.520972,-18.957227,-19.044294,-23.520972
8.400000,-10.198106,-10.210449,-10.305781,-10.050826,-23.469451,-19.116175,-18.910998,-23.469451,-18.942330,-19.001388,-19.116175,-18.942330,-23.514998,-18.910998,-19.001388,-23.514998
8.420000,-10.138819,-10.142701,-10.241446,-9.991432,-23.464255,-19.068551,-18.862336,-23.464255,-18.895806,-18.955973,-19.068551,-18.895806,-23.509726,-18.862336,-18.955973,-23.509726
8.440000,-10.095907,-10.091613,-10.193838,-9.948097,-23.459755,-19.018480,-18.811275,-23.459755,-18.846850,-18.908081,-19.018480,-18.846850,-23.505131,-18.811275,-18.908081,-23.505131
8.460000,-10.069002,-10.056723,-10.162540,-9.920444,-23.455961,-18.966026,-18.757879,-23.455961,-18.795522,-18.857774,-18.966026,-18.795522,-23.501221,-18.757879,-18.857774,-23.501221
8.480000,-10.057799,-10.037638,-10.147203,-9.908157,-23.452914,-18.911283,-18.702238,-23.452914,-18.741912,-18.805142,-18.911283,-18.741912,-23.498036,-18.702238,-18.805142,-23.498036
8.500000,-10.062056,-10.034034,-10.147540,-9.910980,-23.450683,-18.854369,-18.644470,-23.450683,-18.686134,-18.750301,-18.854369,-18.686134,-23.495644,-18.644470,-18.750301,-23.495644
