stage,index,candidate,score,elapsed_s,rationale,air_frequency_ghz,board_diameter_mm,copper_t_mm,corner_cut_mm,cp_axial_ratio_target_db,element_spacing_mm,epsr,feed_offset_u_mm,feed_offset_v_mm,feed_pad_radius_mm,fov_min_gain_target_dbi,freq_center_ghz,freq_start_ghz,freq_step_ghz,freq_stop_ghz,ground_radius_mm,isolation_slot_enabled,isolation_slot_inner_mm,isolation_slot_length_mm,isolation_slot_width_mm,patch_side_mm,port_width_mm,substrate_h_mm,tan_delta,target_start_ghz,target_stop_ghz,total_height_limit_mm,via_antipad_radius_mm,worst_return_db,worst_return_expr,worst_coupling_db,worst_coupling_expr,isolation_db
sparam,11,ground_slot_shorter,6.98125591490424,69.6,Reduce slot perturbation if the slot is degrading match or CP modes.,7.0,44.0,0.035,0.62,3.0,17.0,3.48,2.68,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,6.0,0.3,8.91,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.267010202627688,"dB(S(P3:1,P3:1))",-17.324280392125868,"dB(S(P2:1,P4:1))",17.324280392125868
sparam,12,thicker_substrate_2p4,54.85588589118358,69.1,Use more height for bandwidth while staying far below the 8 mm envelope.,7.0,44.0,0.035,0.68,3.0,17.0,3.48,2.86,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,9.18,0.75,2.4,0.0037,7.738,8.233,8.0,0.9,-4.488134450775287,"dB(S(P2:1,P2:1))",-16.751797340423654,"dB(S(P4:1,P1:1))",16.751797340423654
sparam,13,thicker_substrate_3p2,81.50656480032956,58.9,More aggressive bandwidth move using available height margin.,7.0,44.0,0.035,0.72,3.0,17.0,3.48,3.05,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,9.55,0.75,3.2,0.0037,7.738,8.233,8.0,0.9,-1.800656520190019,"dB(S(P3:1,P3:1))",-18.24579998513508,"dB(S(P4:1,P1:1))",18.24579998513508
sparam,14,large_patch_high_h,84.4738980285414,58.9,Theory-driven half-wave patch length test on thicker substrate.,7.0,44.0,0.035,0.82,3.0,17.0,3.48,3.35,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,10.15,0.75,3.2,0.0037,7.738,8.233,8.0,0.9,-1.4885147921262325,"dB(S(P1:1,P1:1))",-19.273027001308527,"dB(S(P4:1,P3:1))",19.273027001308527
sparam,15,local_corner_0p86,4.18372266202501,70.0,Continue the first-round trend by increasing the corner perturbation.,7.0,44.0,0.035,0.86,3.0,17.0,3.48,2.7,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.95,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.544586560749032,"dB(S(P3:1,P3:1))",-17.469411536564472,"dB(S(P4:1,P2:1))",17.469411536564472
sparam,16,local_corner_0p94,6.261322493944098,67.4,Test whether additional modal splitting improves the lower-band return miss.,7.0,44.0,0.035,0.94,3.0,17.0,3.48,2.7,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.95,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.335355070479142,"dB(S(P3:1,P3:1))",-17.56751200842986,"dB(S(P3:1,P1:1))",17.56751200842986
sparam,17,local_feed_2p62_corner_0p82,13.217324543909688,69.6,Retune feed inward after increasing corner perturbation.,7.0,44.0,0.035,0.82,3.0,17.0,3.48,2.62,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.96,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-8.645823865840196,"dB(S(P2:1,P2:1))",-17.162911984589005,"dB(S(P2:1,P4:1))",17.162911984589005
sparam,18,local_feed_2p78_corner_0p82,8.680010234669142,69.5,Retune feed outward after increasing corner perturbation.,7.0,44.0,0.035,0.82,3.0,17.0,3.48,2.78,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.96,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.094514952794997,"dB(S(P3:1,P3:1))",-17.49893491587259,"dB(S(P2:1,P4:1))",17.49893491587259
sparam,19,local_patch_9p00_corner_0p84,3.21434502749871,71.2,Slightly lower resonance and keep the stronger CP modal split.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.74,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,9.0,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.640342266300046,"dB(S(P2:1,P2:1))",-17.54821539667223,"dB(S(P4:1,P2:1))",17.54821539667223
sparam,20,local_patch_8p90_corner_0p82,13.970018239063977,69.5,Slightly raise resonance with the stronger CP modal split.,7.0,44.0,0.035,0.82,3.0,17.0,3.48,2.66,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.9,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-8.569057207539487,"dB(S(P3:1,P3:1))",-17.262731236941026,"dB(S(P4:1,P2:1))",17.262731236941026
sparam,21,local_wide_port_corner_0p82,6.8131952682029135,69.4,Combine stronger modal split with extra feed capacitance.,7.0,44.0,0.035,0.82,3.0,17.0,3.48,2.7,0.0,0.55,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.96,1.05,2.0,0.0037,7.738,8.233,8.0,0.9,-9.284101249619427,"dB(S(P4:1,P4:1))",-17.30528157068544,"dB(S(P2:1,P4:1))",17.30528157068544
sparam,22,local_narrow_port_corner_0p82,7.537433563157198,69.3,Combine stronger modal split with reduced feed capacitance.,7.0,44.0,0.035,0.82,3.0,17.0,3.48,2.7,0.0,0.35,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,8.0,0.35,8.96,0.45,2.0,0.0037,7.738,8.233,8.0,0.9,-9.208597565451422,"dB(S(P2:1,P2:1))",-17.51060521552389,"dB(S(P2:1,P4:1))",17.51060521552389
sparam,23,combo_patch9_corner084_slot10,8.46679346396089,69.4,Combine best local patch/corner point with the longer decoupling slot.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.74,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,10.0,0.45,9.0,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.11801868735333,"dB(S(P3:1,P3:1))",-17.353464416705346,"dB(S(P1:1,P3:1))",17.353464416705346
sparam,24,combo_patch9_corner086_slot10,3.996594075414626,69.2,Increase corner split slightly with longer decoupling slot.,7.0,44.0,0.035,0.86,3.0,17.0,3.48,2.74,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,10.0,0.45,9.0,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.5643083290115,"dB(S(P2:1,P2:1))",-17.402150896469198,"dB(S(P1:1,P3:1))",17.402150896469198
sparam,25,combo_patch902_corner086_slot10,12.93463457794796,69.4,Lower resonance slightly and combine with longer decoupling slot.,7.0,44.0,0.035,0.86,3.0,17.0,3.48,2.76,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,10.0,0.45,9.02,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-8.672318670658303,"dB(S(P3:1,P3:1))",-17.281191436460077,"dB(S(P1:1,P3:1))",17.281191436460077
sparam,26,combo_patch898_corner084_slot10,2.918523922659722,67.8,Raise resonance slightly and combine with longer decoupling slot.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.72,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,10.0,0.45,8.98,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.67314162411989,"dB(S(P4:1,P4:1))",-17.333732240942567,"dB(S(P2:1,P4:1))",17.333732240942567
sparam,27,combo_patch9_corner084_slot11,1.3169274882130737,69.7,Test a more aggressive decoupling slot length.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.74,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,11.0,0.45,9.0,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.832541964059395,"dB(S(P4:1,P4:1))",-17.384352474619845,"dB(S(P2:1,P4:1))",17.384352474619845
sparam,28,combo_patch9_corner084_slot10_narrowport,3.4856356136086992,69.5,Combine best geometry with lower feed capacitance.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.74,0.0,0.35,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,10.0,0.45,9.0,0.45,2.0,0.0037,7.738,8.233,8.0,0.9,-9.611935299792108,"dB(S(P2:1,P2:1))",-17.633409256468113,"dB(S(P3:1,P1:1))",17.633409256468113
sparam,29,final_slot12_w045,11.418827290759978,73.5,Extend decoupling slot to 12 mm from final point.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.74,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,12.0,0.45,9.0,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-8.91236800625833,"dB(S(P2:1,P2:1))",-14.728746323328362,"dB(S(P2:1,P4:1))",14.728746323328362
sparam,30,final_slot12_w050,17.89146834211514,71.3,Extend and widen decoupling slot from final point.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.74,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,12.0,0.5,9.0,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-8.274768186257976,"dB(S(P4:1,P4:1))",-14.68042489765255,"dB(S(P2:1,P4:1))",14.68042489765255
sparam,31,final_slot11_feed270,7.948684896333892,69.0,Move feed inward on the slot11 best point.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.7,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,11.0,0.45,9.0,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.171611725040334,"dB(S(P4:1,P4:1))",-17.234652355085124,"dB(S(P4:1,P2:1))",17.234652355085124
sparam,32,final_slot11_feed278,2.077553795475203,69.7,Move feed outward on the slot11 best point.,7.0,44.0,0.035,0.84,3.0,17.0,3.48,2.78,0.0,0.45,-5.0,8.0,7.7,0.02,8.3,21.4,1.0,3.2,11.0,0.45,9.0,0.75,2.0,0.0037,7.738,8.233,8.0,0.9,-9.760237109390243,"dB(S(P4:1,P4:1))",-17.1338340708158,"dB(S(P2:1,P4:1))",17.1338340708158
