freq_ghz,phi_deg,theta_deg,linear_pol_deg,channel_set,baseline,pdoa_deg,pdoa_unwrapped_deg,left_mag_rel_db,right_mag_rel_db,valid
7.738000,45.000000,120.000000,0.000000,A_feed_only,E1-E3,75.912386,75.912386,-19.083741,-8.607440,True
7.738000,45.000000,125.000000,0.000000,A_feed_only,E1-E3,56.638709,56.638709,-20.019413,-7.882063,True
7.738000,45.000000,130.000000,0.000000,A_feed_only,E1-E3,32.136636,32.136636,-18.824300,-7.371209,True
7.738000,45.000000,135.000000,0.000000,A_feed_only,E1-E3,15.323384,15.323384,-16.150985,-7.113553,True
7.738000,45.000000,140.000000,0.000000,A_feed_only,E1-E3,6.577490,6.577490,-13.466540,-7.152246,True
7.738000,45.000000,145.000000,0.000000,A_feed_only,E1-E3,2.118329,2.118329,-11.263761,-7.552934,True
7.738000,45.000000,150.000000,0.000000,A_feed_only,E1-E3,-0.352578,-0.352578,-9.616457,-8.426743,True
7.738000,45.000000,155.000000,0.000000,A_feed_only,E1-E3,-2.016498,-2.016498,-8.531950,-9.974644,True
7.738000,45.000000,160.000000,0.000000,A_feed_only,E1-E3,-3.703512,-3.703512,-8.030469,-12.611526,True
7.738000,45.000000,165.000000,0.000000,A_feed_only,E1-E3,-7.112860,-7.112860,-8.163708,-17.487254,True
7.738000,45.000000,170.000000,0.000000,A_feed_only,E1-E3,-39.721387,-39.721387,-9.036098,-31.546747,True
7.738000,45.000000,175.000000,0.000000,A_feed_only,E1-E3,-169.491418,-169.491418,-10.865508,-20.440076,True
7.738000,45.000000,180.000000,0.000000,A_feed_only,E1-E3,-174.584080,-174.584080,-14.193273,-14.013480,True
7.738000,45.000000,185.000000,0.000000,A_feed_only,E1-E3,-174.903555,-174.903555,-21.034703,-10.894075,True
7.738000,45.000000,190.000000,0.000000,A_feed_only,E1-E3,-7.290792,-7.290792,-32.581584,-9.225629,True
7.738000,45.000000,195.000000,0.000000,A_feed_only,E1-E3,-0.715865,-0.715865,-17.629052,-8.473891,True
7.738000,45.000000,200.000000,0.000000,A_feed_only,E1-E3,-1.094310,-1.094310,-12.833784,-8.416567,True
7.738000,45.000000,205.000000,0.000000,A_feed_only,E1-E3,-2.306693,-2.306693,-10.218222,-8.948930,True
7.738000,45.000000,210.000000,0.000000,A_feed_only,E1-E3,-4.318467,-4.318467,-8.663530,-10.025174,True
7.738000,45.000000,215.000000,0.000000,A_feed_only,E1-E3,-7.596755,-7.596755,-7.777132,-11.632848,True
7.738000,45.000000,220.000000,0.000000,A_feed_only,E1-E3,-13.245997,-13.245997,-7.373512,-13.761109,True
7.738000,45.000000,225.000000,0.000000,A_feed_only,E1-E3,-23.518869,-23.518869,-7.349329,-16.288935,True
7.738000,45.000000,230.000000,0.000000,A_feed_only,E1-E3,-41.459227,-41.459227,-7.639429,-18.607740,True
7.738000,45.000000,235.000000,0.000000,A_feed_only,E1-E3,-64.516705,-64.516705,-8.196043,-19.377038,True
7.738000,45.000000,240.000000,0.000000,A_feed_only,E1-E3,-80.923573,-80.923573,-8.973390,-18.391497,True
7.738000,45.000000,245.000000,0.000000,A_feed_only,E1-E3,-86.079977,-86.079977,-9.907508,-16.926029,True
7.738000,45.000000,250.000000,0.000000,A_feed_only,E1-E3,-82.320923,-82.320923,-10.882357,-15.649532,True
7.738000,45.000000,255.000000,0.000000,A_feed_only,E1-E3,-71.756113,-71.756113,-11.685985,-14.649856,True
7.738000,45.000000,260.000000,0.000000,A_feed_only,E1-E3,-56.193910,-56.193910,-12.018979,-13.857047,True
7.738000,45.000000,265.000000,0.000000,A_feed_only,E1-E3,-38.301159,-38.301159,-11.665531,-13.175402,True
7.738000,45.000000,270.000000,0.000000,A_feed_only,E1-E3,-20.912890,-20.912890,-10.697201,-12.511921,True
7.738000,45.000000,275.000000,0.000000,A_feed_only,E1-E3,-5.516554,-5.516554,-9.382819,-11.785583,True
7.738000,45.000000,280.000000,0.000000,A_feed_only,E1-E3,7.707659,7.707659,-7.961179,-10.937511,True
7.738000,45.000000,285.000000,0.000000,A_feed_only,E1-E3,19.031554,19.031554,-6.566900,-9.941791,True
7.738000,45.000000,290.000000,0.000000,A_feed_only,E1-E3,28.743678,28.743678,-5.262680,-8.809544,True
7.738000,45.000000,295.000000,0.000000,A_feed_only,E1-E3,37.111242,37.111242,-4.077959,-7.581800,True
7.738000,45.000000,300.000000,0.000000,A_feed_only,E1-E3,44.434995,44.434995,-3.030069,-6.315213,True
7.738000,45.000000,305.000000,0.000000,A_feed_only,E1-E3,51.069963,51.069963,-2.132707,-5.068536,True
7.738000,45.000000,310.000000,0.000000,A_feed_only,E1-E3,57.409547,57.409547,-1.397871,-3.894242,True
7.738000,45.000000,315.000000,0.000000,A_feed_only,E1-E3,63.859366,63.859366,-0.834704,-2.834959,True
7.738000,45.000000,320.000000,0.000000,A_feed_only,E1-E3,70.817097,70.817097,-0.446995,-1.922645,True
7.738000,45.000000,325.000000,0.000000,A_feed_only,E1-E3,78.662168,78.662168,-0.230278,-1.178950,True
7.738000,45.000000,330.000000,0.000000,A_feed_only,E1-E3,87.752627,87.752627,-0.168980,-0.616027,True
7.738000,45.000000,335.000000,0.000000,A_feed_only,E1-E3,98.422020,98.422020,-0.233781,-0.237285,True
7.738000,45.000000,340.000000,0.000000,A_feed_only,E1-E3,110.962332,110.962332,-0.379493,-0.037319,True
7.738000,45.000000,345.000000,0.000000,A_feed_only,E1-E3,125.571454,125.571454,-0.545235,0.000000,True
7.738000,45.000000,350.000000,0.000000,A_feed_only,E1-E3,142.250593,142.250593,-0.661825,-0.094204,True
7.738000,45.000000,355.000000,0.000000,A_feed_only,E1-E3,160.681956,160.681956,-0.672081,-0.268858,True
7.738000,45.000000,360.000000,0.000000,A_feed_only,E1-E3,-179.821915,180.178085,-0.559268,-0.453349,True
7.738000,45.000000,0.000000,45.000000,A_feed_only,E1-E3,176.894388,176.894388,-9.432185,-10.552459,True
7.738000,45.000000,5.000000,45.000000,A_feed_only,E1-E3,-171.888323,188.111677,-8.838363,-11.843536,True
7.738000,45.000000,10.000000,45.000000,A_feed_only,E1-E3,-155.793514,204.206486,-8.753909,-13.617734,True
7.738000,45.000000,15.000000,45.000000,A_feed_only,E1-E3,-130.428421,229.571579,-9.200261,-14.840090,True
7.738000,45.000000,20.000000,45.000000,A_feed_only,E1-E3,-103.133863,256.866137,-10.181831,-13.861070,True
7.738000,45.000000,25.000000,45.000000,A_feed_only,E1-E3,-87.293853,272.706147,-11.697686,-11.490075,True
7.738000,45.000000,30.000000,45.000000,A_feed_only,E1-E3,-82.184741,277.815259,-13.748749,-9.224298,True
7.738000,45.000000,35.000000,45.000000,A_feed_only,E1-E3,-83.667875,276.332125,-16.346860,-7.454849,True
7.738000,45.000000,40.000000,45.000000,A_feed_only,E1-E3,-89.380303,270.619697,-19.533726,-6.170556,True
7.738000,45.000000,45.000000,45.000000,A_feed_only,E1-E3,-97.513898,262.486102,-23.445988,-5.303569,True
7.738000,45.000000,50.000000,45.000000,A_feed_only,E1-E3,-103.904168,256.095832,-28.576223,-4.794031,True
7.738000,45.000000,55.000000,45.000000,A_feed_only,E1-E3,-85.373652,-85.373652,-36.145398,-4.596343,False
7.738000,45.000000,60.000000,45.000000,A_feed_only,E1-E3,-16.799727,343.200273,-33.467023,-4.677708,True
7.738000,45.000000,65.000000,45.000000,A_feed_only,E1-E3,-10.971712,349.028288,-26.713134,-5.017499,True
7.738000,45.000000,70.000000,45.000000,A_feed_only,E1-E3,-18.120277,341.879723,-22.351982,-5.607881,True
7.738000,45.000000,75.000000,45.000000,A_feed_only,E1-E3,-27.516055,332.483945,-19.202741,-6.454586,True
7.738000,45.000000,80.000000,45.000000,A_feed_only,E1-E3,-38.011505,321.988495,-16.814835,-7.575323,True
7.738000,45.000000,85.000000,45.000000,A_feed_only,E1-E3,-50.331137,309.668863,-14.988100,-8.987372,True
7.738000,45.000000,90.000000,45.000000,A_feed_only,E1-E3,-66.289063,293.710937,-13.616098,-10.652820,True
7.738000,45.000000,95.000000,45.000000,A_feed_only,E1-E3,-88.673314,271.326686,-12.636905,-12.290056,True
7.738000,45.000000,100.000000,45.000000,A_feed_only,E1-E3,-118.734993,241.265007,-12.011692,-13.065708,True
7.738000,45.000000,105.000000,45.000000,A_feed_only,E1-E3,-150.657658,209.342342,-11.707561,-12.218551,True
7.738000,45.000000,110.000000,45.000000,A_feed_only,E1-E3,-177.912232,182.087768,-11.669737,-10.374684,True
7.738000,45.000000,115.000000,45.000000,A_feed_only,E1-E3,158.298251,158.298251,-11.762683,-8.465898,True
7.738000,45.000000,120.000000,45.000000,A_feed_only,E1-E3,134.514450,134.514450,-11.675307,-6.860261,True
7.738000,45.000000,125.000000,45.000000,A_feed_only,E1-E3,109.868014,109.868014,-10.939875,-5.632684,True
7.738000,45.000000,130.000000,45.000000,A_feed_only,E1-E3,87.028417,87.028417,-9.342970,-4.786218,True
7.738000,45.000000,135.000000,45.000000,A_feed_only,E1-E3,68.689212,68.689212,-7.221965,-4.325866,True
7.738000,45.000000,140.000000,45.000000,A_feed_only,E1-E3,54.967843,54.967843,-5.057102,-4.286911,True
7.738000,45.000000,145.000000,45.000000,A_feed_only,E1-E3,44.743841,44.743841,-3.143468,-4.760330,True
7.738000,45.000000,150.000000,45.000000,A_feed_only,E1-E3,37.051019,37.051019,-1.620405,-5.940970,True
7.738000,45.000000,155.000000,45.000000,A_feed_only,E1-E3,31.521371,31.521371,-0.558086,-8.265254,True
7.738000,45.000000,160.000000,45.000000,A_feed_only,E1-E3,29.299763,29.299763,-0.003242,-13.017225,True
7.738000,45.000000,165.000000,45.000000,A_feed_only,E1-E3,72.662898,72.662898,0.000000,-28.976005,True
7.738000,45.000000,170.000000,45.000000,A_feed_only,E1-E3,-174.619253,185.380747,-0.605660,-13.703572,True
7.738000,45.000000,175.000000,45.000000,A_feed_only,E1-E3,-173.323799,186.676201,-1.915816,-7.276063,True
7.738000,45.000000,180.000000,45.000000,A_feed_only,E1-E3,-174.031032,185.968968,-4.121686,-3.881244,True
7.738000,45.000000,185.000000,45.000000,A_feed_only,E1-E3,-173.208351,186.791649,-7.675107,-1.874152,True
7.738000,45.000000,190.000000,45.000000,A_feed_only,E1-E3,-163.409267,196.590733,-13.898764,-0.755344,True
7.738000,45.000000,195.000000,45.000000,A_feed_only,E1-E3,-84.024148,275.975852,-20.416691,-0.305231,True
7.738000,45.000000,200.000000,45.000000,A_feed_only,E1-E3,-41.436510,318.563490,-12.367298,-0.407809,True
7.738000,45.000000,205.000000,45.000000,A_feed_only,E1-E3,-39.086988,320.913012,-8.171261,-0.994259,True
7.738000,45.000000,210.000000,45.000000,A_feed_only,E1-E3,-43.380575,316.619425,-5.953322,-2.017519,True
7.738000,45.000000,215.000000,45.000000,A_feed_only,E1-E3,-50.896519,309.103481,-4.790884,-3.433307,True
7.738000,45.000000,220.000000,45.000000,A_feed_only,E1-E3,-61.342607,298.657393,-4.332926,-5.174269,True
7.738000,45.000000,225.000000,45.000000,A_feed_only,E1-E3,-75.255527,284.744473,-4.420114,-7.104479,True
7.738000,45.000000,230.000000,45.000000,A_feed_only,E1-E3,-93.210658,266.789342,-4.977855,-8.960119,True
7.738000,45.000000,235.000000,45.000000,A_feed_only,E1-E3,-114.705289,245.294711,-5.979401,-10.375964,True
7.738000,45.000000,240.000000,45.000000,A_feed_only,E1-E3,-137.710353,222.289647,-7.429380,-11.146972,True
7.738000,45.000000,245.000000,45.000000,A_feed_only,E1-E3,-160.883046,199.116954,-9.339310,-11.447382,True
7.738000,45.000000,250.000000,45.000000,A_feed_only,E1-E3,173.887156,173.887156,-11.620161,-11.617123,True
7.738000,45.000000,255.000000,45.000000,A_feed_only,E1-E3,142.117913,142.117913,-13.661157,-11.902014,True
7.738000,45.000000,260.000000,45.000000,A_feed_only,E1-E3,104.997499,104.997499,-13.956563,-12.428444,True
7.738000,45.000000,265.000000,45.000000,A_feed_only,E1-E3,74.668836,74.668836,-12.300003,-13.264329,True
7.738000,45.000000,270.000000,45.000000,A_feed_only,E1-E3,54.530994,54.530994,-10.186662,-14.466756,True
7.738000,45.000000,275.000000,45.000000,A_feed_only,E1-E3,40.274047,40.274047,-8.340816,-16.111765,True
7.738000,45.000000,280.000000,45.000000,A_feed_only,E1-E3,28.301769,28.301769,-6.864886,-18.322266,True
7.738000,45.000000,285.000000,45.000000,A_feed_only,E1-E3,16.008109,16.008109,-5.723970,-21.315982,True
7.738000,45.000000,290.000000,45.000000,A_feed_only,E1-E3,0.062268,0.062268,-4.877229,-25.522001,True
7.738000,45.000000,295.000000,45.000000,A_feed_only,E1-E3,-29.629489,-29.629489,-4.300229,-31.798533,True
7.738000,45.000000,300.000000,45.000000,A_feed_only,E1-E3,-110.941610,-110.941610,-3.985364,-36.515736,False
7.738000,45.000000,305.000000,45.000000,A_feed_only,E1-E3,-172.317668,-172.317668,-3.938970,-31.400130,True
7.738000,45.000000,310.000000,45.000000,A_feed_only,E1-E3,155.923439,-204.076561,-4.178564,-27.380143,True
7.738000,45.000000,315.000000,45.000000,A_feed_only,E1-E3,131.105493,-228.894507,-4.730179,-24.035184,True
7.738000,45.000000,320.000000,45.000000,A_feed_only,E1-E3,112.542443,-247.457557,-5.624374,-20.832865,True
7.738000,45.000000,325.000000,45.000000,A_feed_only,E1-E3,101.065973,-258.934027,-6.886602,-17.877643,True
7.738000,45.000000,330.000000,45.000000,A_feed_only,E1-E3,96.910376,-263.089624,-8.507719,-15.320832,True
7.738000,45.000000,335.000000,45.000000,A_feed_only,E1-E3,100.836600,-259.163400,-10.350899,-13.224834,True
7.738000,45.000000,340.000000,45.000000,A_feed_only,E1-E3,113.831513,-246.168487,-11.935580,-11.610972,True
7.738000,45.000000,345.000000,45.000000,A_feed_only,E1-E3,133.380032,-226.619968,-12.432661,-10.499169,True
7.738000,45.000000,350.000000,45.000000,A_feed_only,E1-E3,152.051554,-207.948446,-11.675436,-9.921089,True
7.738000,45.000000,355.000000,45.000000,A_feed_only,E1-E3,166.001620,-193.998380,-10.460382,-9.921320,True
7.738000,45.000000,360.000000,45.000000,A_feed_only,E1-E3,176.894388,-183.105612,-9.432185,-10.552459,True
7.738000,45.000000,0.000000,90.000000,A_feed_only,E1-E3,178.489426,178.489426,-0.159795,-0.034792,True
7.738000,45.000000,5.000000,90.000000,A_feed_only,E1-E3,-164.149268,195.850732,-0.104483,-0.143717,True
7.738000,45.000000,10.000000,90.000000,A_feed_only,E1-E3,-146.960307,213.039693,-0.122272,-0.309330,True
7.738000,45.000000,15.000000,90.000000,A_feed_only,E1-E3,-130.097853,229.902147,-0.236961,-0.514923,True
7.738000,45.000000,20.000000,90.000000,A_feed_only,E1-E3,-113.721257,246.278743,-0.465036,-0.749525,True
7.738000,45.000000,25.000000,90.000000,A_feed_only,E1-E3,-97.990013,262.009987,-0.814237,-1.010173,True
7.738000,45.000000,30.000000,90.000000,A_feed_only,E1-E3,-83.048466,276.951534,-1.284990,-1.300199,True
7.738000,45.000000,35.000000,90.000000,A_feed_only,E1-E3,-69.016408,290.983592,-1.873097,-1.625359,True
7.738000,45.000000,40.000000,90.000000,A_feed_only,E1-E3,-55.989598,304.010402,-2.572472,-1.990534,True
7.738000,45.000000,45.000000,90.000000,A_feed_only,E1-E3,-44.043594,315.956406,-3.377285,-2.398208,True
7.738000,45.000000,50.000000,90.000000,A_feed_only,E1-E3,-33.235687,326.764313,-4.283255,-2.848177,True
7.738000,45.000000,55.000000,90.000000,A_feed_only,E1-E3,-23.605906,336.394094,-5.288239,-3.337623,True
7.738000,45.000000,60.000000,90.000000,A_feed_only,E1-E3,-15.180457,344.819543,-6.392439,-3.861154,True
7.738000,45.000000,65.000000,90.000000,A_feed_only,E1-E3,-7.978946,352.021054,-7.598716,-4.410912,True
7.738000,45.000000,70.000000,90.000000,A_feed_only,E1-E3,-2.024044,357.975956,-8.913468,-4.976946,True
7.738000,45.000000,75.000000,90.000000,A_feed_only,E1-E3,2.648367,362.648367,-10.348482,-5.547935,True
7.738000,45.000000,80.000000,90.000000,A_feed_only,E1-E3,5.978610,365.978610,-11.924296,-6.112253,True
7.738000,45.000000,85.000000,90.000000,A_feed_only,E1-E3,7.867605,367.867605,-13.676112,-6.659286,True
7.738000,45.000000,90.000000,90.000000,A_feed_only,E1-E3,8.141208,368.141208,-15.664643,-7.180899,True
7.738000,45.000000,95.000000,90.000000,A_feed_only,E1-E3,6.449271,366.449271,-17.997741,-7.672898,True
7.738000,45.000000,100.000000,90.000000,A_feed_only,E1-E3,1.940052,361.940052,-20.877754,-8.136377,True
7.738000,45.000000,105.000000,90.000000,A_feed_only,E1-E3,-8.030377,351.969623,-24.706630,-8.578861,True
7.738000,45.000000,110.000000,90.000000,A_feed_only,E1-E3,-34.702361,325.297639,-30.024708,-9.015189,True
7.738000,45.000000,115.000000,90.000000,A_feed_only,E1-E3,-102.117834,257.882166,-31.787853,-9.467981,True
7.738000,45.000000,120.000000,90.000000,A_feed_only,E1-E3,-142.110523,217.889477,-26.638535,-9.967447,True
7.738000,45.000000,125.000000,90.000000,A_feed_only,E1-E3,-158.273370,201.726630,-22.707927,-10.550247,True
7.738000,45.000000,130.000000,90.000000,A_feed_only,E1-E3,-168.698409,191.301591,-19.958953,-11.257207,True
7.738000,45.000000,135.000000,90.000000,A_feed_only,E1-E3,-177.298326,182.701674,-17.911516,-12.129539,True
7.738000,45.000000,140.000000,90.000000,A_feed_only,E1-E3,175.170538,175.170538,-16.328373,-13.201936,True
7.738000,45.000000,145.000000,90.000000,A_feed_only,E1-E3,169.159524,169.159524,-15.095679,-14.486051,True
7.738000,45.000000,150.000000,90.000000,A_feed_only,E1-E3,165.971088,165.971088,-14.165273,-15.924370,True
7.738000,45.000000,155.000000,90.000000,A_feed_only,E1-E3,167.352989,167.352989,-13.526652,-17.279356,True
7.738000,45.000000,160.000000,90.000000,A_feed_only,E1-E3,173.732954,173.732954,-13.187132,-18.031489,True
7.738000,45.000000,165.000000,90.000000,A_feed_only,E1-E3,-178.340575,181.659425,-13.155673,-17.742208,True
7.738000,45.000000,170.000000,90.000000,A_feed_only,E1-E3,-173.424884,186.575116,-13.432057,-16.694282,True
7.738000,45.000000,175.000000,90.000000,A_feed_only,E1-E3,-172.334863,187.665137,-14.001461,-15.504774,True
7.738000,45.000000,180.000000,90.000000,A_feed_only,E1-E3,-173.393761,186.606239,-14.828535,-14.533161,True
7.738000,45.000000,185.000000,90.000000,A_feed_only,E1-E3,-174.623518,185.376482,-15.837271,-13.886656,True
7.738000,45.000000,190.000000,90.000000,A_feed_only,E1-E3,-174.354763,185.645237,-16.859946,-13.558036,True
7.738000,45.000000,195.000000,90.000000,A_feed_only,E1-E3,-171.772261,188.227739,-17.579315,-13.500026,True
7.738000,45.000000,200.000000,90.000000,A_feed_only,E1-E3,-168.038707,191.961293,-17.629101,-13.660657,True
7.738000,45.000000,205.000000,90.000000,A_feed_only,E1-E3,-165.989892,194.010108,-16.940445,-14.005350,True
7.738000,45.000000,210.000000,90.000000,A_feed_only,E1-E3,-167.399816,192.600184,-15.820598,-14.530930,True
7.738000,45.000000,215.000000,90.000000,A_feed_only,E1-E3,-171.960181,188.039819,-14.609492,-15.269511,True
7.738000,45.000000,220.000000,90.000000,A_feed_only,E1-E3,-178.576775,181.423225,-13.490976,-16.285499,True
7.738000,45.000000,225.000000,90.000000,A_feed_only,E1-E3,173.618723,173.618723,-12.527183,-17.677274,True
7.738000,45.000000,230.000000,90.000000,A_feed_only,E1-E3,164.920656,164.920656,-11.720978,-19.600628,True
7.738000,45.000000,235.000000,90.000000,A_feed_only,E1-E3,154.648302,154.648302,-11.050152,-22.345819,True
7.738000,45.000000,240.000000,90.000000,A_feed_only,E1-E3,139.007754,139.007754,-10.482474,-26.554450,True
7.738000,45.000000,245.000000,90.000000,A_feed_only,E1-E3,95.095948,95.095948,-9.982791,-32.805949,True
7.738000,45.000000,250.000000,90.000000,A_feed_only,E1-E3,18.309469,18.309469,-9.517256,-29.765047,True
7.738000,45.000000,255.000000,90.000000,A_feed_only,E1-E3,-4.612532,-4.612532,-9.056335,-23.925025,True
7.738000,45.000000,260.000000,90.000000,A_feed_only,E1-E3,-12.446928,-12.446928,-8.576975,-20.087427,True
7.738000,45.000000,265.000000,90.000000,A_feed_only,E1-E3,-15.520625,-15.520625,-8.064023,-17.275603,True
7.738000,45.000000,270.000000,90.000000,A_feed_only,E1-E3,-16.048275,-16.048275,-7.510860,-15.026969,True
7.738000,45.000000,275.000000,90.000000,A_feed_only,E1-E3,-14.773327,-14.773327,-6.919199,-13.123482,True
7.738000,45.000000,280.000000,90.000000,A_feed_only,E1-E3,-12.026128,-12.026128,-6.297959,-11.451022,True
7.738000,45.000000,285.000000,90.000000,A_feed_only,E1-E3,-7.976424,-7.976424,-5.661246,-9.946047,True
7.738000,45.000000,290.000000,90.000000,A_feed_only,E1-E3,-2.711346,-2.711346,-5.025711,-8.572432,True
7.738000,45.000000,295.000000,90.000000,A_feed_only,E1-E3,3.732462,3.732462,-4.407683,-7.310079,True
7.738000,45.000000,300.000000,90.000000,A_feed_only,E1-E3,11.347732,11.347732,-3.820604,-6.148772,True
7.738000,45.000000,305.000000,90.000000,A_feed_only,E1-E3,20.136310,20.136310,-3.273328,-5.084553,True
7.738000,45.000000,310.000000,90.000000,A_feed_only,E1-E3,30.088853,30.088853,-2.769853,-4.117308,True
7.738000,45.000000,315.000000,90.000000,A_feed_only,E1-E3,41.169055,41.169055,-2.310812,-3.248957,True
7.738000,45.000000,320.000000,90.000000,A_feed_only,E1-E3,53.309615,53.309615,-1.896207,-2.481998,True
7.738000,45.000000,325.000000,90.000000,A_feed_only,E1-E3,66.423968,66.423968,-1.527789,-1.818420,True
7.738000,45.000000,330.000000,90.000000,A_feed_only,E1-E3,80.427502,80.427502,-1.209051,-1.259130,True
7.738000,45.000000,335.000000,90.000000,A_feed_only,E1-E3,95.251813,95.251813,-0.942187,-0.803960,True
7.738000,45.000000,340.000000,90.000000,A_feed_only,E1-E3,110.837024,110.837024,-0.724068,-0.452094,True
7.738000,45.000000,345.000000,90.000000,A_feed_only,E1-E3,127.103414,127.103414,-0.545038,-0.202413,True
7.738000,45.000000,350.000000,90.000000,A_feed_only,E1-E3,143.923196,143.923196,-0.393167,-0.053077,True
7.738000,45.000000,355.000000,90.000000,A_feed_only,E1-E3,161.118299,161.118299,-0.262506,0.000000,True
7.738000,45.000000,360.000000,90.000000,A_feed_only,E1-E3,178.489426,178.489426,-0.159795,-0.034792,True
7.738000,45.000000,0.000000,135.000000,A_feed_only,E1-E3,179.321902,179.321902,-0.290281,-0.162155,True
7.738000,45.000000,5.000000,135.000000,A_feed_only,E1-E3,-162.166959,197.833041,-0.171897,-0.267215,True
7.738000,45.000000,10.000000,135.000000,A_feed_only,E1-E3,-144.201829,215.798171,-0.079854,-0.346641,True
7.738000,45.000000,15.000000,135.000000,A_feed_only,E1-E3,-127.286729,232.713271,-0.066392,-0.394971,True
7.738000,45.000000,20.000000,135.000000,A_feed_only,E1-E3,-111.752473,248.247527,-0.174962,-0.431973,True
7.738000,45.000000,25.000000,135.000000,A_feed_only,E1-E3,-97.726221,262.273779,-0.433407,-0.493296,True
7.738000,45.000000,30.000000,135.000000,A_feed_only,E1-E3,-85.162209,274.837791,-0.853749,-0.616776,True
7.738000,45.000000,35.000000,135.000000,A_feed_only,E1-E3,-73.906644,286.093356,-1.435390,-0.832625,True
7.738000,45.000000,40.000000,135.000000,A_feed_only,E1-E3,-63.758521,296.241479,-2.169126,-1.159846,True
7.738000,45.000000,45.000000,135.000000,A_feed_only,E1-E3,-54.506695,305.493305,-3.040593,-1.606701,True
7.738000,45.000000,50.000000,135.000000,A_feed_only,E1-E3,-45.944417,314.055583,-4.032637,-2.172458,True
7.738000,45.000000,55.000000,135.000000,A_feed_only,E1-E3,-37.871332,322.128668,-5.126686,-2.848942,True
7.738000,45.000000,60.000000,135.000000,A_feed_only,E1-E3,-30.092010,329.907990,-6.303556,-3.621455,True
7.738000,45.000000,65.000000,135.000000,A_feed_only,E1-E3,-22.416342,337.583658,-7.544235,-4.469157,True
7.738000,45.000000,70.000000,135.000000,A_feed_only,E1-E3,-14.664178,345.335822,-8.831138,-5.365044,True
7.738000,45.000000,75.000000,135.000000,A_feed_only,E1-E3,-6.675950,353.324050,-10.150068,-6.275770,True
7.738000,45.000000,80.000000,135.000000,A_feed_only,E1-E3,1.668194,361.668194,-11.492945,-7.161792,True
7.738000,45.000000,85.000000,135.000000,A_feed_only,E1-E3,10.418416,370.418416,-12.861265,-7.978847,True
7.738000,45.000000,90.000000,135.000000,A_feed_only,E1-E3,19.516282,379.516282,-14.270506,-8.682132,True
7.738000,45.000000,95.000000,135.000000,A_feed_only,E1-E3,28.757589,388.757589,-15.756208,-9.234087,True
